RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
1,2026-08-05T20:57:01.730Z,REST,Lazy,76.00,7576.00
2,2026-08-05T20:57:16.495Z,REST,Lazy,1804.00,8636.00
3,2026-08-05T21:12:51.495Z,GraphQL,Eager,2164.00,2164.00
4,2026-08-05T21:13:20.639Z,GraphQL,Eager,60.00,576.00
5,2026-08-05T21:13:32.619Z,GraphQL,Eager,2032.00,2032.00
6,2026-08-05T21:14:14.586Z,GraphQL,Eager,1468.00,1800.00
7,2026-08-05T21:14:20.690Z,GraphQL,Eager,64.00,1896.00
8,2026-08-05T21:23:19.298Z,GraphQL,Lazy,80.00,264.00
9,2026-08-05T21:23:40.273Z,GraphQL,Lazy,1716.00,1752.00
10,2026-08-05T21:23:45.933Z,GraphQL,Lazy,48.00,1216.00
