RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-19T18:54:49.348Z,REST,Eager,POST,/fetchMovies,200,211.88,7688044
2,2026-08-19T18:55:27.787Z,REST,Eager,POST,/fetchMovies,200,216.18,7688044
3,2026-08-19T18:56:08.917Z,REST,Eager,POST,/fetchMovies,200,238.15,7688044
4,2026-08-19T18:56:52.521Z,REST,Eager,POST,/fetchMovies,200,219.39,7688044
5,2026-08-19T18:57:36.091Z,REST,Eager,POST,/fetchMovies,200,206.46,7688044
6,2026-08-19T18:58:17.366Z,REST,Eager,POST,/fetchMovies,200,225.23,7688044
7,2026-08-19T18:59:52.490Z,REST,Eager,POST,/fetchMovies,200,222.02,7688044
8,2026-08-19T19:00:31.045Z,REST,Eager,POST,/fetchMovies,200,211.92,7688044
9,2026-08-19T19:01:11.827Z,REST,Eager,POST,/fetchMovies,200,216.60,7688044
10,2026-08-19T19:02:01.668Z,REST,Eager,POST,/fetchMovies,200,220.91,7688044
11,2026-08-19T19:02:44.147Z,REST,Eager,POST,/fetchMovies,200,214.65,7688044
12,2026-08-19T19:03:23.822Z,REST,Eager,POST,/fetchMovies,200,225.70,7688044
13,2026-08-19T19:04:05.087Z,REST,Eager,POST,/fetchMovies,200,208.02,7688044
14,2026-08-19T19:04:48.703Z,REST,Eager,POST,/fetchMovies,200,215.14,7688044
15,2026-08-19T19:05:31.565Z,REST,Eager,POST,/fetchMovies,200,214.38,7688044
16,2026-08-19T19:07:06.656Z,REST,Eager,POST,/fetchMovies,200,224.95,7688044
17,2026-08-19T19:07:47.756Z,REST,Eager,POST,/fetchMovies,200,215.17,7688044
18,2026-08-19T19:08:27.817Z,REST,Eager,POST,/fetchMovies,200,221.14,7688044
19,2026-08-19T19:09:08.395Z,REST,Eager,POST,/fetchMovies,200,211.85,7688044
20,2026-08-19T19:09:51.119Z,REST,Eager,POST,/fetchMovies,200,224.53,7688044
21,2026-08-19T19:11:26.232Z,REST,Eager,POST,/fetchMovies,200,213.95,7688044
22,2026-08-19T19:12:06.640Z,REST,Eager,POST,/fetchMovies,200,213.72,7688044
23,2026-08-19T19:12:49.492Z,REST,Eager,POST,/fetchMovies,200,215.41,7688044
24,2026-08-19T19:13:32.385Z,REST,Eager,POST,/fetchMovies,200,217.25,7688044
25,2026-08-19T19:14:13.001Z,REST,Eager,POST,/fetchMovies,200,222.40,7688044
26,2026-08-19T19:14:55.925Z,REST,Eager,POST,/fetchMovies,200,213.52,7688044
27,2026-08-19T19:15:36.898Z,REST,Eager,POST,/fetchMovies,200,220.43,7688044
28,2026-08-19T19:16:19.452Z,REST,Eager,POST,/fetchMovies,200,221.35,7688044
29,2026-08-19T19:17:02.409Z,REST,Eager,POST,/fetchMovies,200,213.32,7688044
30,2026-08-19T19:17:41.961Z,REST,Eager,POST,/fetchMovies,200,217.85,7688044
31,2026-08-19T19:19:13.413Z,GraphQL,Eager,POST,/graphql,200,269.03,2975074
32,2026-08-19T19:19:55.157Z,GraphQL,Eager,POST,/graphql,200,275.29,2975074
33,2026-08-19T19:20:38.919Z,GraphQL,Eager,POST,/graphql,200,285.32,2975074
34,2026-08-19T19:21:21.145Z,GraphQL,Eager,POST,/graphql,200,276.67,2975074
35,2026-08-19T19:22:00.740Z,GraphQL,Eager,POST,/graphql,200,275.69,2975074
36,2026-08-19T19:22:42.545Z,GraphQL,Eager,POST,/graphql,200,271.14,2975074
37,2026-08-19T19:23:19.937Z,GraphQL,Eager,POST,/graphql,200,270.65,2975074
38,2026-08-19T19:24:00.712Z,GraphQL,Eager,POST,/graphql,200,274.11,2975074
39,2026-08-19T19:24:44.031Z,GraphQL,Eager,POST,/graphql,200,273.93,2975074
40,2026-08-19T19:25:26.165Z,GraphQL,Eager,POST,/graphql,200,273.89,2975074
41,2026-08-19T19:26:07.167Z,GraphQL,Eager,POST,/graphql,200,272.41,2975074
42,2026-08-19T19:26:48.793Z,GraphQL,Eager,POST,/graphql,200,286.04,2975074
43,2026-08-19T19:27:30.158Z,GraphQL,Eager,POST,/graphql,200,274.92,2975074
44,2026-08-19T19:28:13.687Z,GraphQL,Eager,POST,/graphql,200,270.27,2975074
45,2026-08-19T19:28:56.407Z,GraphQL,Eager,POST,/graphql,200,272.76,2975074
46,2026-08-19T19:29:38.780Z,GraphQL,Eager,POST,/graphql,200,271.95,2975074
47,2026-08-19T19:30:20.963Z,GraphQL,Eager,POST,/graphql,200,265.49,2975074
48,2026-08-19T19:31:03.739Z,GraphQL,Eager,POST,/graphql,200,281.07,2975074
49,2026-08-19T19:31:48.918Z,GraphQL,Eager,POST,/graphql,200,287.67,2975074
50,2026-08-19T19:32:36.617Z,GraphQL,Eager,POST,/graphql,200,269.77,2975074
51,2026-08-19T19:33:19.569Z,GraphQL,Eager,POST,/graphql,200,270.45,2975074
52,2026-08-19T19:34:02.944Z,GraphQL,Eager,POST,/graphql,200,267.64,2975074
53,2026-08-19T19:34:47.283Z,GraphQL,Eager,POST,/graphql,200,272.43,2975074
54,2026-08-19T19:35:29.661Z,GraphQL,Eager,POST,/graphql,200,283.97,2975074
55,2026-08-19T19:36:14.789Z,GraphQL,Eager,POST,/graphql,200,286.54,2975074
56,2026-08-19T19:36:57.255Z,GraphQL,Eager,POST,/graphql,200,274.29,2975074
57,2026-08-19T19:37:38.923Z,GraphQL,Eager,POST,/graphql,200,276.50,2975074
58,2026-08-19T19:38:20.533Z,GraphQL,Eager,POST,/graphql,200,285.11,2975074
59,2026-08-19T19:39:03.392Z,GraphQL,Eager,POST,/graphql,200,271.74,2975074
60,2026-08-19T19:39:45.764Z,GraphQL,Eager,POST,/graphql,200,268.62,2975074
61,2026-08-19T19:41:58.903Z,REST,Lazy,POST,/fetchMovies,200,41.68,9243
62,2026-08-19T19:42:04.318Z,REST,Lazy,POST,/fetchMovies,200,40.01,9243
63,2026-08-19T19:42:09.724Z,REST,Lazy,POST,/fetchMovies,200,37.68,9243
64,2026-08-19T19:42:15.155Z,REST,Lazy,POST,/fetchMovies,200,40.16,9243
65,2026-08-19T19:42:20.557Z,REST,Lazy,POST,/fetchMovies,200,40.74,9243
