RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
1,2026-08-16T09:24:08.239Z,REST,Eager,44.00,1420.00
2,2026-08-16T09:24:47.977Z,REST,Eager,32.00,1324.00
3,2026-08-16T09:25:31.326Z,REST,Eager,28.00,1324.00
4,2026-08-16T09:26:14.090Z,REST,Eager,20.00,1320.00
5,2026-08-16T09:28:38.811Z,REST,Eager,32.00,1324.00
6,2026-08-16T09:29:22.304Z,REST,Eager,28.00,1316.00
7,2026-08-16T09:29:57.998Z,REST,Eager,32.00,1308.00
8,2026-08-16T09:32:12.446Z,REST,Eager,20.00,1308.00
9,2026-08-16T09:34:32.599Z,REST,Eager,20.00,3916.00
10,2026-08-16T09:35:16.871Z,REST,Eager,20.00,1320.00
11,2026-08-16T09:35:57.019Z,REST,Eager,16.00,1324.00
12,2026-08-16T09:37:13.633Z,REST,Eager,32.00,1328.00
13,2026-08-16T09:37:27.949Z,REST,Eager,20.00,1320.00
14,2026-08-16T09:39:45.910Z,REST,Eager,32.00,1328.00
15,2026-08-16T09:40:59.897Z,REST,Eager,20.00,1320.00
16,2026-08-16T09:41:13.249Z,REST,Eager,16.00,1304.00
17,2026-08-16T09:43:29.006Z,REST,Eager,16.00,1312.00
18,2026-08-16T09:44:13.278Z,REST,Eager,20.00,1324.00
19,2026-08-16T09:46:27.823Z,REST,Eager,16.00,1336.00
20,2026-08-16T09:48:45.503Z,REST,Eager,16.00,1312.00
21,2026-08-16T09:49:29.007Z,REST,Eager,16.00,1312.00
22,2026-08-16T09:50:10.656Z,REST,Eager,20.00,1308.00
23,2026-08-16T09:50:52.460Z,REST,Eager,16.00,1320.00
24,2026-08-16T09:52:23.497Z,GraphQL,Eager,24.00,1392.00
25,2026-08-16T09:53:03.298Z,GraphQL,Eager,20.00,1392.00
26,2026-08-16T09:53:48.519Z,GraphQL,Eager,20.00,1388.00
27,2026-08-16T09:54:26.232Z,GraphQL,Eager,20.00,1400.00
28,2026-08-16T09:55:10.770Z,GraphQL,Eager,28.00,1384.00
29,2026-08-16T09:55:47.499Z,GraphQL,Eager,20.00,1388.00
30,2026-08-16T09:56:29.656Z,GraphQL,Eager,32.00,1380.00
31,2026-08-16T09:57:08.573Z,GraphQL,Eager,36.00,1380.00
32,2026-08-16T09:57:54.306Z,GraphQL,Eager,32.00,1380.00
33,2026-08-16T09:58:34.204Z,GraphQL,Eager,16.00,1384.00
34,2026-08-16T09:59:18.504Z,GraphQL,Eager,20.00,1372.00
35,2026-08-16T09:59:55.423Z,GraphQL,Eager,32.00,1392.00
36,2026-08-16T10:00:35.222Z,GraphQL,Eager,20.00,1528.00
37,2026-08-16T10:01:17.318Z,GraphQL,Eager,32.00,1384.00
38,2026-08-16T10:01:59.418Z,GraphQL,Eager,20.00,1384.00
39,2026-08-16T10:02:42.517Z,GraphQL,Eager,32.00,1380.00
40,2026-08-16T10:03:24.796Z,GraphQL,Eager,20.00,1384.00
41,2026-08-16T10:05:45.946Z,GraphQL,Eager,28.00,1408.00
42,2026-08-16T10:06:22.797Z,GraphQL,Eager,28.00,1392.00
43,2026-08-16T10:07:08.552Z,GraphQL,Eager,16.00,1388.00
44,2026-08-16T10:07:48.997Z,GraphQL,Eager,28.00,1380.00
45,2026-08-16T10:08:30.547Z,GraphQL,Eager,32.00,1400.00
46,2026-08-16T10:09:12.843Z,GraphQL,Eager,20.00,1392.00
47,2026-08-16T10:11:28.310Z,GraphQL,Eager,32.00,1388.00
48,2026-08-16T10:12:10.591Z,GraphQL,Eager,32.00,1396.00
49,2026-08-16T10:12:50.140Z,GraphQL,Eager,16.00,1400.00
50,2026-08-16T10:13:28.694Z,GraphQL,Eager,28.00,1396.00
51,2026-08-16T10:14:15.144Z,GraphQL,Eager,16.00,1384.00
52,2026-08-16T10:37:12.952Z,REST,Lazy,24.00,172.00
53,2026-08-16T10:37:18.299Z,REST,Lazy,16.00,148.00
54,2026-08-16T10:37:23.606Z,REST,Lazy,20.00,152.00
55,2026-08-16T10:37:28.924Z,REST,Lazy,20.00,148.00
56,2026-08-16T10:37:34.330Z,REST,Lazy,20.00,168.00
57,2026-08-16T10:37:39.735Z,REST,Lazy,20.00,132.00
58,2026-08-16T10:37:45.125Z,REST,Lazy,20.00,152.00
59,2026-08-16T10:37:50.397Z,REST,Lazy,32.00,64.00
60,2026-08-16T10:37:55.713Z,REST,Lazy,20.00,68.00
61,2026-08-16T10:38:01.125Z,REST,Lazy,28.00,164.00
62,2026-08-16T10:38:06.482Z,REST,Lazy,20.00,152.00
63,2026-08-16T10:38:15.014Z,REST,Lazy,20.00,3408.00
64,2026-08-16T10:38:20.435Z,REST,Lazy,32.00,180.00
65,2026-08-16T10:38:25.819Z,REST,Lazy,32.00,148.00
66,2026-08-16T10:38:31.141Z,REST,Lazy,28.00,160.00
67,2026-08-16T10:38:36.538Z,REST,Lazy,20.00,148.00
68,2026-08-16T10:38:41.943Z,REST,Lazy,32.00,164.00
69,2026-08-16T10:38:47.352Z,REST,Lazy,20.00,68.00
70,2026-08-16T10:38:52.757Z,REST,Lazy,20.00,148.00
71,2026-08-16T10:38:58.158Z,REST,Lazy,20.00,148.00
72,2026-08-16T10:39:03.559Z,REST,Lazy,20.00,148.00
73,2026-08-16T10:39:08.870Z,REST,Lazy,20.00,164.00
74,2026-08-16T10:39:15.262Z,REST,Lazy,20.00,1128.00
75,2026-08-16T10:39:21.113Z,REST,Lazy,32.00,536.00
76,2026-08-16T10:39:26.503Z,REST,Lazy,16.00,164.00
77,2026-08-16T10:39:31.911Z,REST,Lazy,28.00,148.00
78,2026-08-16T10:39:37.318Z,REST,Lazy,20.00,148.00
79,2026-08-16T10:39:42.723Z,REST,Lazy,20.00,148.00
80,2026-08-16T10:39:48.147Z,REST,Lazy,20.00,84.00
81,2026-08-16T10:39:53.527Z,REST,Lazy,16.00,148.00
82,2026-08-16T10:41:25.583Z,GraphQL,Lazy,28.00,812.00
