RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-15T20:00:15.639Z,REST,Eager,POST,/fetchMovies,200,30.17,25917
2,2026-08-15T20:00:21.390Z,REST,Eager,POST,/fetchMovies,200,21.24,25917
3,2026-08-15T20:00:26.882Z,REST,Eager,POST,/fetchMovies,200,17.67,25917
4,2026-08-15T20:00:32.399Z,REST,Eager,POST,/fetchMovies,200,18.18,25917
5,2026-08-15T20:00:37.816Z,REST,Eager,POST,/fetchMovies,200,24.67,25917
6,2026-08-15T20:00:43.221Z,REST,Eager,POST,/fetchMovies,200,24.78,25917
7,2026-08-15T20:00:48.734Z,REST,Eager,POST,/fetchMovies,200,24.96,25917
8,2026-08-15T20:00:54.143Z,REST,Eager,POST,/fetchMovies,200,25.96,25917
9,2026-08-15T20:00:59.644Z,REST,Eager,POST,/fetchMovies,200,23.10,25917
10,2026-08-15T20:01:05.157Z,REST,Eager,POST,/fetchMovies,200,22.58,25917
11,2026-08-15T20:01:11.545Z,REST,Eager,POST,/fetchMovies,200,19.73,25917
12,2026-08-15T20:01:17.159Z,REST,Eager,POST,/fetchMovies,200,25.56,25917
13,2026-08-15T20:01:22.866Z,REST,Eager,POST,/fetchMovies,200,23.49,25917
14,2026-08-15T20:01:28.377Z,REST,Eager,POST,/fetchMovies,200,26.66,25917
15,2026-08-15T20:01:33.885Z,REST,Eager,POST,/fetchMovies,200,24.81,25917
16,2026-08-15T20:01:39.277Z,REST,Eager,POST,/fetchMovies,200,21.23,25917
17,2026-08-15T20:01:44.800Z,REST,Eager,POST,/fetchMovies,200,22.95,25917
18,2026-08-15T20:01:50.209Z,REST,Eager,POST,/fetchMovies,200,25.75,25917
19,2026-08-15T20:01:55.718Z,REST,Eager,POST,/fetchMovies,200,25.14,25917
20,2026-08-15T20:02:01.227Z,REST,Eager,POST,/fetchMovies,200,24.75,25917
21,2026-08-15T20:02:06.633Z,REST,Eager,POST,/fetchMovies,200,24.21,25917
22,2026-08-15T20:02:12.140Z,REST,Eager,POST,/fetchMovies,200,25.88,25917
23,2026-08-15T20:02:17.544Z,REST,Eager,POST,/fetchMovies,200,25.72,25917
24,2026-08-15T20:02:23.152Z,REST,Eager,POST,/fetchMovies,200,24.59,25917
25,2026-08-15T20:02:28.557Z,REST,Eager,POST,/fetchMovies,200,25.24,25917
26,2026-08-15T20:02:34.068Z,REST,Eager,POST,/fetchMovies,200,24.85,25917
27,2026-08-15T20:02:39.469Z,REST,Eager,POST,/fetchMovies,200,24.99,25917
28,2026-08-15T20:02:44.877Z,REST,Eager,POST,/fetchMovies,200,25.03,25917
29,2026-08-15T20:02:50.382Z,REST,Eager,POST,/fetchMovies,200,21.89,25917
30,2026-08-15T20:02:55.794Z,REST,Eager,POST,/fetchMovies,200,25.60,25917
31,2026-08-15T20:04:27.197Z,GraphQL,Eager,POST,/graphql,200,30.42,25672
32,2026-08-15T20:04:32.705Z,GraphQL,Eager,POST,/graphql,200,28.55,25672
33,2026-08-15T20:04:38.121Z,GraphQL,Eager,POST,/graphql,200,27.83,25672
34,2026-08-15T20:04:43.633Z,GraphQL,Eager,POST,/graphql,200,28.43,25672
35,2026-08-15T20:04:49.141Z,GraphQL,Eager,POST,/graphql,200,28.32,25672
36,2026-08-15T20:04:54.649Z,GraphQL,Eager,POST,/graphql,200,26.45,25672
37,2026-08-15T20:05:00.050Z,GraphQL,Eager,POST,/graphql,200,23.21,25672
38,2026-08-15T20:05:05.564Z,GraphQL,Eager,POST,/graphql,200,29.63,25672
39,2026-08-15T20:05:10.968Z,GraphQL,Eager,POST,/graphql,200,26.18,25672
40,2026-08-15T20:05:16.381Z,GraphQL,Eager,POST,/graphql,200,27.96,25672
41,2026-08-15T20:05:21.891Z,GraphQL,Eager,POST,/graphql,200,28.49,25672
42,2026-08-15T20:05:27.288Z,GraphQL,Eager,POST,/graphql,200,23.09,25672
43,2026-08-15T20:05:32.707Z,GraphQL,Eager,POST,/graphql,200,28.66,25672
44,2026-08-15T20:05:38.214Z,GraphQL,Eager,POST,/graphql,200,26.83,25672
45,2026-08-15T20:05:43.623Z,GraphQL,Eager,POST,/graphql,200,27.64,25672
46,2026-08-15T20:05:49.135Z,GraphQL,Eager,POST,/graphql,200,27.77,25672
47,2026-08-15T20:05:54.545Z,GraphQL,Eager,POST,/graphql,200,28.62,25672
48,2026-08-15T20:06:00.056Z,GraphQL,Eager,POST,/graphql,200,27.91,25672
49,2026-08-15T20:06:05.574Z,GraphQL,Eager,POST,/graphql,200,27.39,25672
50,2026-08-15T20:06:10.983Z,GraphQL,Eager,POST,/graphql,200,28.99,25672
51,2026-08-15T20:06:16.493Z,GraphQL,Eager,POST,/graphql,200,26.80,25672
52,2026-08-15T20:06:21.896Z,GraphQL,Eager,POST,/graphql,200,29.03,25672
53,2026-08-15T20:06:27.408Z,GraphQL,Eager,POST,/graphql,200,28.47,25672
54,2026-08-15T20:06:32.922Z,GraphQL,Eager,POST,/graphql,200,28.48,25672
55,2026-08-15T20:06:38.534Z,GraphQL,Eager,POST,/graphql,200,26.35,25672
56,2026-08-15T20:06:43.945Z,GraphQL,Eager,POST,/graphql,200,28.52,25672
57,2026-08-15T20:06:49.462Z,GraphQL,Eager,POST,/graphql,200,28.19,25672
58,2026-08-15T20:06:54.871Z,GraphQL,Eager,POST,/graphql,200,29.74,25672
59,2026-08-15T20:07:00.377Z,GraphQL,Eager,POST,/graphql,200,27.57,25672
60,2026-08-15T20:07:05.784Z,GraphQL,Eager,POST,/graphql,200,28.84,25672
61,2026-08-15T20:09:19.612Z,REST,Lazy,POST,/fetchMovies,200,24.01,4410
62,2026-08-15T20:09:24.912Z,REST,Lazy,POST,/fetchMovies,200,25.52,4410
63,2026-08-15T20:09:30.320Z,REST,Lazy,POST,/fetchMovies,200,22.47,4410
64,2026-08-15T20:09:35.624Z,REST,Lazy,POST,/fetchMovies,200,22.62,4410
65,2026-08-15T20:09:40.928Z,REST,Lazy,POST,/fetchMovies,200,22.63,4410
66,2026-08-15T20:09:46.236Z,REST,Lazy,POST,/fetchMovies,200,24.98,4410
67,2026-08-15T20:09:51.637Z,REST,Lazy,POST,/fetchMovies,200,25.28,4410
68,2026-08-15T20:09:57.045Z,REST,Lazy,POST,/fetchMovies,200,22.09,4410
69,2026-08-15T20:10:02.354Z,REST,Lazy,POST,/fetchMovies,200,26.42,4410
70,2026-08-15T20:10:07.764Z,REST,Lazy,POST,/fetchMovies,200,23.94,4410
71,2026-08-15T20:10:13.173Z,REST,Lazy,POST,/fetchMovies,200,26.28,4410
72,2026-08-15T20:10:18.578Z,REST,Lazy,POST,/fetchMovies,200,23.28,4410
73,2026-08-15T20:10:23.888Z,REST,Lazy,POST,/fetchMovies,200,25.87,4410
74,2026-08-15T20:10:29.293Z,REST,Lazy,POST,/fetchMovies,200,18.11,4410
75,2026-08-15T20:10:34.705Z,REST,Lazy,POST,/fetchMovies,200,23.86,4410
76,2026-08-15T20:10:40.115Z,REST,Lazy,POST,/fetchMovies,200,23.55,4410
77,2026-08-15T20:10:45.417Z,REST,Lazy,POST,/fetchMovies,200,24.13,4410
78,2026-08-15T20:10:50.714Z,REST,Lazy,POST,/fetchMovies,200,22.89,4410
79,2026-08-15T20:10:56.019Z,REST,Lazy,POST,/fetchMovies,200,24.68,4410
80,2026-08-15T20:11:01.427Z,REST,Lazy,POST,/fetchMovies,200,23.15,4410
81,2026-08-15T20:11:06.835Z,REST,Lazy,POST,/fetchMovies,200,24.58,4410
82,2026-08-15T20:11:12.117Z,REST,Lazy,POST,/fetchMovies,200,20.24,4410
83,2026-08-15T20:11:17.399Z,REST,Lazy,POST,/fetchMovies,200,20.36,4410
84,2026-08-15T20:11:22.704Z,REST,Lazy,POST,/fetchMovies,200,22.80,4410
85,2026-08-15T20:11:28.009Z,REST,Lazy,POST,/fetchMovies,200,23.68,4410
86,2026-08-15T20:11:33.313Z,REST,Lazy,POST,/fetchMovies,200,23.70,4410
87,2026-08-15T20:11:38.614Z,REST,Lazy,POST,/fetchMovies,200,22.23,4410
88,2026-08-15T20:11:44.031Z,REST,Lazy,POST,/fetchMovies,200,23.85,4410
89,2026-08-15T20:11:49.336Z,REST,Lazy,POST,/fetchMovies,200,25.70,4410
90,2026-08-15T20:11:54.639Z,REST,Lazy,POST,/fetchMovies,200,24.24,4410
91,2026-08-15T20:13:26.079Z,GraphQL,Lazy,POST,/graphql,200,26.46,4389
92,2026-08-15T20:13:31.489Z,GraphQL,Lazy,POST,/graphql,200,27.88,4389
93,2026-08-15T20:13:36.898Z,GraphQL,Lazy,POST,/graphql,200,26.20,4389
94,2026-08-15T20:13:42.301Z,GraphQL,Lazy,POST,/graphql,200,20.46,4389
95,2026-08-15T20:13:47.611Z,GraphQL,Lazy,POST,/graphql,200,23.85,4389
96,2026-08-15T20:13:53.022Z,GraphQL,Lazy,POST,/graphql,200,26.27,4389
97,2026-08-15T20:13:58.429Z,GraphQL,Lazy,POST,/graphql,200,24.16,4389
98,2026-08-15T20:14:03.830Z,GraphQL,Lazy,POST,/graphql,200,24.28,4389
99,2026-08-15T20:14:09.235Z,GraphQL,Lazy,POST,/graphql,200,20.15,4389
100,2026-08-15T20:14:14.549Z,GraphQL,Lazy,POST,/graphql,200,25.98,4389
101,2026-08-15T20:14:19.953Z,GraphQL,Lazy,POST,/graphql,200,25.56,4389
102,2026-08-15T20:14:25.257Z,GraphQL,Lazy,POST,/graphql,200,25.10,4389
103,2026-08-15T20:14:30.567Z,GraphQL,Lazy,POST,/graphql,200,25.98,4389
104,2026-08-15T20:14:35.969Z,GraphQL,Lazy,POST,/graphql,200,25.59,4389
105,2026-08-15T20:14:41.279Z,GraphQL,Lazy,POST,/graphql,200,25.63,4389
106,2026-08-15T20:14:46.588Z,GraphQL,Lazy,POST,/graphql,200,29.96,4389
107,2026-08-15T20:14:51.862Z,GraphQL,Lazy,POST,/graphql,200,22.90,4389
108,2026-08-15T20:14:57.274Z,GraphQL,Lazy,POST,/graphql,200,25.39,4389
109,2026-08-15T20:15:02.585Z,GraphQL,Lazy,POST,/graphql,200,25.47,4389
110,2026-08-15T20:15:07.998Z,GraphQL,Lazy,POST,/graphql,200,25.85,4389
111,2026-08-15T20:15:13.304Z,GraphQL,Lazy,POST,/graphql,200,21.18,4389
