RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
1,2026-08-28T09:40:07.466Z,REST,Eager,40.00,100.00
2,2026-08-28T09:40:13.044Z,REST,Eager,28.00,52.00
3,2026-08-28T09:40:18.425Z,REST,Eager,28.00,52.00
4,2026-08-28T09:40:23.934Z,REST,Eager,28.00,52.00
5,2026-08-28T09:40:29.368Z,REST,Eager,20.00,56.00
6,2026-08-28T09:40:34.757Z,REST,Eager,20.00,56.00
7,2026-08-28T09:40:40.278Z,REST,Eager,32.00,52.00
8,2026-08-28T09:40:45.669Z,REST,Eager,20.00,56.00
9,2026-08-28T09:40:51.190Z,REST,Eager,28.00,52.00
10,2026-08-28T09:40:56.643Z,REST,Eager,32.00,52.00
11,2026-08-28T09:41:02.205Z,REST,Eager,32.00,48.00
12,2026-08-28T09:41:07.650Z,REST,Eager,16.00,56.00
13,2026-08-28T09:41:13.041Z,REST,Eager,20.00,56.00
14,2026-08-28T09:41:18.563Z,REST,Eager,32.00,52.00
15,2026-08-28T09:41:23.972Z,REST,Eager,28.00,52.00
16,2026-08-28T09:41:29.348Z,REST,Eager,20.00,52.00
17,2026-08-28T09:41:34.848Z,REST,Eager,32.00,56.00
18,2026-08-28T09:41:40.257Z,REST,Eager,16.00,40.00
19,2026-08-28T09:41:45.762Z,REST,Eager,28.00,48.00
20,2026-08-28T09:41:51.172Z,REST,Eager,16.00,56.00
21,2026-08-28T09:41:56.557Z,REST,Eager,16.00,52.00
22,2026-08-28T09:42:02.095Z,REST,Eager,32.00,56.00
23,2026-08-28T09:42:07.489Z,REST,Eager,20.00,56.00
24,2026-08-28T09:42:12.890Z,REST,Eager,28.00,52.00
25,2026-08-28T09:42:18.387Z,REST,Eager,32.00,52.00
26,2026-08-28T09:42:23.819Z,REST,Eager,16.00,56.00
27,2026-08-28T09:42:29.341Z,REST,Eager,16.00,56.00
28,2026-08-28T09:42:34.715Z,REST,Eager,20.00,56.00
29,2026-08-28T09:42:40.124Z,REST,Eager,16.00,56.00
30,2026-08-28T09:42:45.680Z,REST,Eager,20.00,56.00
31,2026-08-28T09:44:16.944Z,GraphQL,Eager,28.00,56.00
32,2026-08-28T09:44:22.541Z,GraphQL,Eager,32.00,60.00
33,2026-08-28T09:44:27.940Z,GraphQL,Eager,20.00,56.00
34,2026-08-28T09:44:33.362Z,GraphQL,Eager,16.00,56.00
35,2026-08-28T09:44:38.865Z,GraphQL,Eager,20.00,52.00
36,2026-08-28T09:44:44.244Z,GraphQL,Eager,32.00,52.00
37,2026-08-28T09:44:49.793Z,GraphQL,Eager,16.00,52.00
38,2026-08-28T09:44:55.204Z,GraphQL,Eager,16.00,56.00
39,2026-08-28T09:45:00.588Z,GraphQL,Eager,20.00,56.00
40,2026-08-28T09:45:06.091Z,GraphQL,Eager,32.00,52.00
41,2026-08-28T09:45:11.506Z,GraphQL,Eager,16.00,52.00
42,2026-08-28T09:45:17.079Z,GraphQL,Eager,20.00,52.00
43,2026-08-28T09:45:22.556Z,GraphQL,Eager,32.00,52.00
44,2026-08-28T09:45:28.023Z,GraphQL,Eager,32.00,52.00
45,2026-08-28T09:45:33.476Z,GraphQL,Eager,16.00,56.00
46,2026-08-28T09:45:38.869Z,GraphQL,Eager,32.00,52.00
47,2026-08-28T09:45:44.362Z,GraphQL,Eager,16.00,56.00
48,2026-08-28T09:45:49.773Z,GraphQL,Eager,28.00,52.00
49,2026-08-28T09:45:55.353Z,GraphQL,Eager,32.00,56.00
50,2026-08-28T09:46:00.837Z,GraphQL,Eager,16.00,52.00
51,2026-08-28T09:46:06.315Z,GraphQL,Eager,20.00,56.00
52,2026-08-28T09:46:11.744Z,GraphQL,Eager,20.00,52.00
53,2026-08-28T09:46:17.177Z,GraphQL,Eager,32.00,52.00
54,2026-08-28T09:46:22.674Z,GraphQL,Eager,32.00,52.00
55,2026-08-28T09:46:28.089Z,GraphQL,Eager,20.00,56.00
56,2026-08-28T09:46:33.640Z,GraphQL,Eager,20.00,56.00
57,2026-08-28T09:46:39.122Z,GraphQL,Eager,16.00,56.00
58,2026-08-28T09:46:44.619Z,GraphQL,Eager,20.00,56.00
59,2026-08-28T09:46:50.055Z,GraphQL,Eager,16.00,52.00
60,2026-08-28T09:46:55.454Z,GraphQL,Eager,16.00,56.00
61,2026-08-28T10:00:02.309Z,REST,Lazy,48.00,80.00
62,2026-08-28T10:00:07.770Z,REST,Lazy,28.00,60.00
63,2026-08-28T10:00:13.118Z,REST,Lazy,20.00,52.00
64,2026-08-28T10:00:18.488Z,REST,Lazy,20.00,52.00
65,2026-08-28T10:00:23.805Z,REST,Lazy,16.00,48.00
