RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-19T20:56:19.709Z,REST,Eager,POST,/fetchMovies,200,15.06,12757
2,2026-08-19T20:56:25.098Z,REST,Eager,POST,/fetchMovies,200,8.93,12757
3,2026-08-19T20:56:30.423Z,REST,Eager,POST,/fetchMovies,200,9.23,12757
4,2026-08-19T20:56:35.829Z,REST,Eager,POST,/fetchMovies,200,6.45,12757
5,2026-08-19T20:56:41.236Z,REST,Eager,POST,/fetchMovies,200,12.30,12757
6,2026-08-19T20:56:46.534Z,REST,Eager,POST,/fetchMovies,200,6.90,12757
7,2026-08-19T20:56:51.852Z,REST,Eager,POST,/fetchMovies,200,12.60,12757
8,2026-08-19T20:56:57.236Z,REST,Eager,POST,/fetchMovies,200,9.11,12757
9,2026-08-19T20:57:02.645Z,REST,Eager,POST,/fetchMovies,200,6.66,12757
10,2026-08-19T20:57:08.057Z,REST,Eager,POST,/fetchMovies,200,11.69,12757
11,2026-08-19T20:57:13.358Z,REST,Eager,POST,/fetchMovies,200,7.88,12757
12,2026-08-19T20:57:18.761Z,REST,Eager,POST,/fetchMovies,200,9.88,12757
13,2026-08-19T20:57:24.166Z,REST,Eager,POST,/fetchMovies,200,13.20,12757
14,2026-08-19T20:57:29.565Z,REST,Eager,POST,/fetchMovies,200,10.12,12757
15,2026-08-19T20:57:34.964Z,REST,Eager,POST,/fetchMovies,200,9.32,12757
16,2026-08-19T20:57:40.365Z,REST,Eager,POST,/fetchMovies,200,8.23,12757
17,2026-08-19T20:57:45.767Z,REST,Eager,POST,/fetchMovies,200,10.05,12757
18,2026-08-19T20:57:51.159Z,REST,Eager,POST,/fetchMovies,200,9.50,12757
19,2026-08-19T20:57:56.467Z,REST,Eager,POST,/fetchMovies,200,10.24,12757
20,2026-08-19T20:58:01.873Z,REST,Eager,POST,/fetchMovies,200,9.62,12757
21,2026-08-19T20:58:07.386Z,REST,Eager,POST,/fetchMovies,200,13.03,12757
22,2026-08-19T20:58:12.778Z,REST,Eager,POST,/fetchMovies,200,8.82,12757
23,2026-08-19T20:58:18.189Z,REST,Eager,POST,/fetchMovies,200,10.53,12757
24,2026-08-19T20:58:23.597Z,REST,Eager,POST,/fetchMovies,200,7.68,12757
25,2026-08-19T20:58:29.001Z,REST,Eager,POST,/fetchMovies,200,7.94,12757
26,2026-08-19T20:58:34.419Z,REST,Eager,POST,/fetchMovies,200,13.08,12757
27,2026-08-19T20:58:39.712Z,REST,Eager,POST,/fetchMovies,200,8.92,12757
28,2026-08-19T20:58:45.024Z,REST,Eager,POST,/fetchMovies,200,11.14,12757
29,2026-08-19T20:58:50.330Z,REST,Eager,POST,/fetchMovies,200,10.84,12757
30,2026-08-19T20:58:55.636Z,REST,Eager,POST,/fetchMovies,200,11.12,12757
31,2026-08-19T21:00:26.986Z,GraphQL,Eager,POST,/graphql,200,12.64,5609
32,2026-08-19T21:00:32.514Z,GraphQL,Eager,POST,/graphql,200,20.02,5609
33,2026-08-19T21:00:37.820Z,GraphQL,Eager,POST,/graphql,200,12.85,5609
34,2026-08-19T21:00:43.141Z,GraphQL,Eager,POST,/graphql,200,13.54,5609
35,2026-08-19T21:00:48.655Z,GraphQL,Eager,POST,/graphql,200,12.99,5609
36,2026-08-19T21:00:54.036Z,GraphQL,Eager,POST,/graphql,200,10.03,5609
37,2026-08-19T21:00:59.323Z,GraphQL,Eager,POST,/graphql,200,10.11,5609
38,2026-08-19T21:01:04.635Z,GraphQL,Eager,POST,/graphql,200,11.53,5609
39,2026-08-19T21:01:09.960Z,GraphQL,Eager,POST,/graphql,200,8.96,5609
40,2026-08-19T21:01:15.371Z,GraphQL,Eager,POST,/graphql,200,11.92,5609
41,2026-08-19T21:01:20.671Z,GraphQL,Eager,POST,/graphql,200,12.83,5609
42,2026-08-19T21:01:26.073Z,GraphQL,Eager,POST,/graphql,200,10.26,5609
43,2026-08-19T21:01:31.458Z,GraphQL,Eager,POST,/graphql,200,7.71,5609
44,2026-08-19T21:01:36.949Z,GraphQL,Eager,POST,/graphql,200,10.92,5609
45,2026-08-19T21:01:42.357Z,GraphQL,Eager,POST,/graphql,200,10.78,5609
46,2026-08-19T21:01:47.665Z,GraphQL,Eager,POST,/graphql,200,12.28,5609
47,2026-08-19T21:01:53.074Z,GraphQL,Eager,POST,/graphql,200,10.68,5609
48,2026-08-19T21:01:58.568Z,GraphQL,Eager,POST,/graphql,200,11.06,5609
49,2026-08-19T21:02:03.970Z,GraphQL,Eager,POST,/graphql,200,13.34,5609
50,2026-08-19T21:02:09.376Z,GraphQL,Eager,POST,/graphql,200,10.10,5609
51,2026-08-19T21:02:14.677Z,GraphQL,Eager,POST,/graphql,200,9.16,5609
52,2026-08-19T21:02:20.083Z,GraphQL,Eager,POST,/graphql,200,13.12,5609
53,2026-08-19T21:02:25.490Z,GraphQL,Eager,POST,/graphql,200,13.53,5609
54,2026-08-19T21:02:30.889Z,GraphQL,Eager,POST,/graphql,200,11.61,5609
55,2026-08-19T21:02:36.297Z,GraphQL,Eager,POST,/graphql,200,9.95,5609
56,2026-08-19T21:02:41.711Z,GraphQL,Eager,POST,/graphql,200,20.02,5609
57,2026-08-19T21:02:47.085Z,GraphQL,Eager,POST,/graphql,200,10.37,5609
58,2026-08-19T21:02:52.494Z,GraphQL,Eager,POST,/graphql,200,10.57,5609
59,2026-08-19T21:02:57.894Z,GraphQL,Eager,POST,/graphql,200,9.37,5609
60,2026-08-19T21:03:03.201Z,GraphQL,Eager,POST,/graphql,200,11.98,5609
61,2026-08-19T21:09:54.595Z,REST,Lazy,POST,/fetchMovies,200,13.83,9147
62,2026-08-19T21:10:00.143Z,REST,Lazy,POST,/fetchMovies,200,61.52,9147
63,2026-08-19T21:10:05.466Z,REST,Lazy,POST,/fetchMovies,200,9.05,9147
64,2026-08-19T21:10:10.791Z,REST,Lazy,POST,/fetchMovies,200,12.15,9147
65,2026-08-19T21:10:16.079Z,REST,Lazy,POST,/fetchMovies,200,10.91,9147
66,2026-08-19T21:10:21.393Z,REST,Lazy,POST,/fetchMovies,200,8.08,9147
67,2026-08-19T21:10:26.703Z,REST,Lazy,POST,/fetchMovies,200,11.69,9147
68,2026-08-19T21:10:31.989Z,REST,Lazy,POST,/fetchMovies,200,15.41,9147
69,2026-08-19T21:10:37.381Z,REST,Lazy,POST,/fetchMovies,200,6.91,9147
70,2026-08-19T21:10:42.691Z,REST,Lazy,POST,/fetchMovies,200,9.91,9147
71,2026-08-19T21:10:47.991Z,REST,Lazy,POST,/fetchMovies,200,10.49,9147
72,2026-08-19T21:10:53.296Z,REST,Lazy,POST,/fetchMovies,200,12.71,9147
73,2026-08-19T21:10:58.598Z,REST,Lazy,POST,/fetchMovies,200,10.69,9147
