RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
1,2026-08-19T20:56:19.904Z,REST,Eager,36.00,160.00
2,2026-08-19T20:56:25.266Z,REST,Eager,28.00,108.00
3,2026-08-19T20:56:30.616Z,REST,Eager,20.00,152.00
4,2026-08-19T20:56:36.084Z,REST,Eager,28.00,212.00
5,2026-08-19T20:56:41.403Z,REST,Eager,28.00,112.00
6,2026-08-19T20:56:46.698Z,REST,Eager,16.00,96.00
7,2026-08-19T20:56:52.019Z,REST,Eager,32.00,112.00
8,2026-08-19T20:56:57.496Z,REST,Eager,32.00,112.00
9,2026-08-19T20:57:02.852Z,REST,Eager,32.00,148.00
10,2026-08-19T20:57:08.224Z,REST,Eager,28.00,128.00
11,2026-08-19T20:57:13.531Z,REST,Eager,32.00,128.00
12,2026-08-19T20:57:19.017Z,REST,Eager,20.00,132.00
13,2026-08-19T20:57:24.334Z,REST,Eager,32.00,112.00
14,2026-08-19T20:57:29.736Z,REST,Eager,32.00,112.00
15,2026-08-19T20:57:35.205Z,REST,Eager,20.00,116.00
16,2026-08-19T20:57:40.574Z,REST,Eager,16.00,148.00
17,2026-08-19T20:57:45.939Z,REST,Eager,16.00,112.00
18,2026-08-19T20:57:51.316Z,REST,Eager,20.00,116.00
19,2026-08-19T20:57:56.722Z,REST,Eager,16.00,132.00
20,2026-08-19T20:58:02.178Z,REST,Eager,32.00,248.00
21,2026-08-19T20:58:07.570Z,REST,Eager,32.00,132.00
22,2026-08-19T20:58:13.022Z,REST,Eager,32.00,212.00
23,2026-08-19T20:58:18.363Z,REST,Eager,20.00,132.00
24,2026-08-19T20:58:23.788Z,REST,Eager,16.00,132.00
25,2026-08-19T20:58:29.255Z,REST,Eager,28.00,112.00
26,2026-08-19T20:58:34.586Z,REST,Eager,28.00,112.00
27,2026-08-19T20:58:39.871Z,REST,Eager,32.00,96.00
28,2026-08-19T20:58:45.176Z,REST,Eager,28.00,128.00
29,2026-08-19T20:58:50.485Z,REST,Eager,16.00,112.00
30,2026-08-19T20:58:55.788Z,REST,Eager,32.00,112.00
31,2026-08-19T21:00:27.252Z,GraphQL,Eager,24.00,216.00
32,2026-08-19T21:00:32.674Z,GraphQL,Eager,32.00,128.00
33,2026-08-19T21:00:37.984Z,GraphQL,Eager,28.00,108.00
34,2026-08-19T21:00:43.419Z,GraphQL,Eager,28.00,144.00
35,2026-08-19T21:00:48.840Z,GraphQL,Eager,16.00,132.00
36,2026-08-19T21:00:54.194Z,GraphQL,Eager,20.00,116.00
37,2026-08-19T21:00:59.479Z,GraphQL,Eager,20.00,116.00
38,2026-08-19T21:01:04.790Z,GraphQL,Eager,44.00,108.00
39,2026-08-19T21:01:10.231Z,GraphQL,Eager,28.00,196.00
40,2026-08-19T21:01:15.539Z,GraphQL,Eager,28.00,112.00
41,2026-08-19T21:01:20.853Z,GraphQL,Eager,32.00,128.00
42,2026-08-19T21:01:26.244Z,GraphQL,Eager,20.00,116.00
43,2026-08-19T21:01:31.746Z,GraphQL,Eager,28.00,112.00
44,2026-08-19T21:01:37.118Z,GraphQL,Eager,32.00,132.00
45,2026-08-19T21:01:42.520Z,GraphQL,Eager,24.00,136.00
46,2026-08-19T21:01:47.902Z,GraphQL,Eager,40.00,108.00
47,2026-08-19T21:01:53.429Z,GraphQL,Eager,16.00,248.00
48,2026-08-19T21:01:58.737Z,GraphQL,Eager,32.00,132.00
49,2026-08-19T21:02:04.238Z,GraphQL,Eager,32.00,196.00
50,2026-08-19T21:02:09.531Z,GraphQL,Eager,28.00,112.00
51,2026-08-19T21:02:14.850Z,GraphQL,Eager,16.00,116.00
52,2026-08-19T21:02:20.250Z,GraphQL,Eager,32.00,112.00
53,2026-08-19T21:02:25.740Z,GraphQL,Eager,32.00,196.00
54,2026-08-19T21:02:31.059Z,GraphQL,Eager,20.00,116.00
55,2026-08-19T21:02:36.467Z,GraphQL,Eager,32.00,112.00
56,2026-08-19T21:02:41.969Z,GraphQL,Eager,28.00,128.00
57,2026-08-19T21:02:47.294Z,GraphQL,Eager,20.00,152.00
58,2026-08-19T21:02:52.698Z,GraphQL,Eager,32.00,148.00
59,2026-08-19T21:02:58.051Z,GraphQL,Eager,20.00,132.00
60,2026-08-19T21:03:03.486Z,GraphQL,Eager,28.00,128.00
61,2026-08-19T21:09:54.786Z,REST,Lazy,44.00,208.00
62,2026-08-19T21:10:00.308Z,REST,Lazy,40.00,104.00
63,2026-08-19T21:10:05.611Z,REST,Lazy,28.00,112.00
64,2026-08-19T21:10:10.934Z,REST,Lazy,24.00,124.00
65,2026-08-19T21:10:16.221Z,REST,Lazy,44.00,124.00
66,2026-08-19T21:10:21.543Z,REST,Lazy,32.00,112.00
67,2026-08-19T21:10:26.844Z,REST,Lazy,32.00,112.00
68,2026-08-19T21:10:32.191Z,REST,Lazy,20.00,132.00
69,2026-08-19T21:10:37.545Z,REST,Lazy,20.00,132.00
70,2026-08-19T21:10:42.837Z,REST,Lazy,32.00,112.00
71,2026-08-19T21:10:48.132Z,REST,Lazy,20.00,116.00
72,2026-08-19T21:10:53.446Z,REST,Lazy,28.00,144.00
73,2026-08-19T21:10:58.741Z,REST,Lazy,28.00,64.00
74,2026-08-19T21:11:04.050Z,REST,Lazy,28.00,128.00
75,2026-08-19T21:11:09.409Z,REST,Lazy,20.00,116.00
76,2026-08-19T21:11:14.761Z,REST,Lazy,44.00,144.00
77,2026-08-19T21:11:20.087Z,REST,Lazy,16.00,148.00
78,2026-08-19T21:11:25.454Z,REST,Lazy,40.00,108.00
79,2026-08-19T21:11:30.775Z,REST,Lazy,32.00,112.00
80,2026-08-19T21:11:36.172Z,REST,Lazy,24.00,224.00
81,2026-08-19T21:11:41.503Z,REST,Lazy,24.00,124.00
82,2026-08-19T21:11:46.811Z,REST,Lazy,24.00,56.00
83,2026-08-19T21:11:52.118Z,REST,Lazy,28.00,128.00
84,2026-08-19T21:11:57.390Z,REST,Lazy,16.00,112.00
85,2026-08-19T21:12:02.681Z,REST,Lazy,20.00,116.00
86,2026-08-19T21:12:07.979Z,REST,Lazy,16.00,132.00
87,2026-08-19T21:12:13.283Z,REST,Lazy,16.00,112.00
88,2026-08-19T21:12:18.648Z,REST,Lazy,16.00,180.00
89,2026-08-19T21:12:24.004Z,REST,Lazy,40.00,124.00
90,2026-08-19T21:12:29.316Z,REST,Lazy,16.00,128.00
91,2026-08-19T21:14:00.756Z,GraphQL,Lazy,32.00,140.00
92,2026-08-19T21:14:06.150Z,GraphQL,Lazy,28.00,212.00
93,2026-08-19T21:14:11.469Z,GraphQL,Lazy,16.00,116.00
94,2026-08-19T21:14:16.786Z,GraphQL,Lazy,32.00,148.00
95,2026-08-19T21:14:22.173Z,GraphQL,Lazy,28.00,60.00
96,2026-08-19T21:14:27.487Z,GraphQL,Lazy,20.00,116.00
97,2026-08-19T21:14:32.870Z,GraphQL,Lazy,20.00,200.00
98,2026-08-19T21:14:38.228Z,GraphQL,Lazy,32.00,164.00
99,2026-08-19T21:14:43.607Z,GraphQL,Lazy,16.00,112.00
100,2026-08-19T21:14:48.914Z,GraphQL,Lazy,32.00,112.00
101,2026-08-19T21:14:54.229Z,GraphQL,Lazy,16.00,116.00
102,2026-08-19T21:14:59.609Z,GraphQL,Lazy,20.00,196.00
103,2026-08-19T21:15:04.939Z,GraphQL,Lazy,28.00,128.00
104,2026-08-19T21:15:10.240Z,GraphQL,Lazy,16.00,116.00
105,2026-08-19T21:15:15.557Z,GraphQL,Lazy,20.00,36.00
106,2026-08-19T21:15:20.857Z,GraphQL,Lazy,16.00,116.00
107,2026-08-19T21:15:26.329Z,GraphQL,Lazy,28.00,180.00
108,2026-08-19T21:15:31.645Z,GraphQL,Lazy,32.00,64.00
109,2026-08-19T21:15:36.985Z,GraphQL,Lazy,28.00,108.00
110,2026-08-19T21:15:42.291Z,GraphQL,Lazy,20.00,116.00
111,2026-08-19T21:15:47.544Z,GraphQL,Lazy,20.00,84.00
112,2026-08-19T21:15:52.904Z,GraphQL,Lazy,16.00,116.00
113,2026-08-19T21:15:58.158Z,GraphQL,Lazy,20.00,80.00
114,2026-08-19T21:16:03.591Z,GraphQL,Lazy,20.00,200.00
115,2026-08-19T21:16:08.916Z,GraphQL,Lazy,20.00,116.00
116,2026-08-19T21:16:14.224Z,GraphQL,Lazy,20.00,116.00
117,2026-08-19T21:16:19.529Z,GraphQL,Lazy,16.00,132.00
118,2026-08-19T21:16:24.759Z,GraphQL,Lazy,20.00,48.00
119,2026-08-19T21:16:30.135Z,GraphQL,Lazy,20.00,132.00
120,2026-08-19T21:16:35.384Z,GraphQL,Lazy,28.00,44.00
