RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-28T08:12:41.639Z,REST,Eager,POST,/fetchMovies,200,213.43,8303082
2,2026-08-28T08:13:48.162Z,REST,Eager,POST,/fetchMovies,200,242.74,8303082
3,2026-08-28T08:14:41.086Z,REST,Eager,POST,/fetchMovies,200,216.20,8303082
4,2026-08-28T08:16:16.206Z,REST,Eager,POST,/fetchMovies,200,217.08,8303082
5,2026-08-28T08:17:06.229Z,REST,Eager,POST,/fetchMovies,200,222.76,8303082
6,2026-08-28T08:17:53.734Z,REST,Eager,POST,/fetchMovies,200,223.90,8303082
7,2026-08-28T08:18:42.787Z,REST,Eager,POST,/fetchMovies,200,225.50,8303082
8,2026-08-28T08:19:34.277Z,REST,Eager,POST,/fetchMovies,200,234.64,8303082
9,2026-08-28T08:20:23.302Z,REST,Eager,POST,/fetchMovies,200,223.01,8303082
10,2026-08-28T08:21:13.888Z,REST,Eager,POST,/fetchMovies,200,228.26,8303082
11,2026-08-28T08:22:00.077Z,REST,Eager,POST,/fetchMovies,200,229.77,8303082
12,2026-08-28T08:22:49.106Z,REST,Eager,POST,/fetchMovies,200,231.81,8303082
13,2026-08-28T08:23:43.715Z,REST,Eager,POST,/fetchMovies,200,215.62,8303082
14,2026-08-28T08:24:28.613Z,REST,Eager,POST,/fetchMovies,200,223.67,8303082
15,2026-08-28T08:25:23.573Z,REST,Eager,POST,/fetchMovies,200,219.38,8303082
16,2026-08-28T08:26:10.333Z,REST,Eager,POST,/fetchMovies,200,222.50,8303082
17,2026-08-28T08:26:59.311Z,REST,Eager,POST,/fetchMovies,200,222.19,8303082
18,2026-08-28T08:27:48.985Z,REST,Eager,POST,/fetchMovies,200,216.54,8303082
19,2026-08-28T08:28:40.177Z,REST,Eager,POST,/fetchMovies,200,230.25,8303082
20,2026-08-28T08:29:28.592Z,REST,Eager,POST,/fetchMovies,200,223.02,8303082
21,2026-08-28T08:30:19.220Z,REST,Eager,POST,/fetchMovies,200,231.65,8303082
22,2026-08-28T08:31:10.911Z,REST,Eager,POST,/fetchMovies,200,222.00,8303082
23,2026-08-28T08:32:46.032Z,REST,Eager,POST,/fetchMovies,200,221.55,8303082
24,2026-08-28T08:33:36.075Z,REST,Eager,POST,/fetchMovies,200,213.47,8303082
25,2026-08-28T08:34:30.202Z,REST,Eager,POST,/fetchMovies,200,232.55,8303082
26,2026-08-28T08:35:20.989Z,REST,Eager,POST,/fetchMovies,200,217.00,8303082
27,2026-08-28T08:36:08.525Z,REST,Eager,POST,/fetchMovies,200,220.38,8303082
28,2026-08-28T08:36:56.662Z,REST,Eager,POST,/fetchMovies,200,216.66,8303082
29,2026-08-28T08:37:45.568Z,REST,Eager,POST,/fetchMovies,200,232.32,8303082
30,2026-08-28T08:38:31.731Z,REST,Eager,POST,/fetchMovies,200,225.22,8303082
31,2026-08-28T08:40:03.242Z,GraphQL,Eager,POST,/graphql,200,279.79,3212340
32,2026-08-28T08:40:49.441Z,GraphQL,Eager,POST,/graphql,200,296.71,3212340
33,2026-08-28T08:41:39.213Z,GraphQL,Eager,POST,/graphql,200,282.84,3212340
34,2026-08-28T08:42:25.833Z,GraphQL,Eager,POST,/graphql,200,282.27,3212340
35,2026-08-28T08:43:12.944Z,GraphQL,Eager,POST,/graphql,200,280.89,3212340
36,2026-08-28T08:44:04.916Z,GraphQL,Eager,POST,/graphql,200,278.88,3212340
37,2026-08-28T08:44:51.917Z,GraphQL,Eager,POST,/graphql,200,285.30,3212340
38,2026-08-28T08:45:40.481Z,GraphQL,Eager,POST,/graphql,200,284.70,3212340
39,2026-08-28T08:47:15.592Z,GraphQL,Eager,POST,/graphql,200,280.08,3212340
40,2026-08-28T08:48:04.752Z,GraphQL,Eager,POST,/graphql,200,280.17,3212340
41,2026-08-28T08:48:58.065Z,GraphQL,Eager,POST,/graphql,200,292.77,3212340
42,2026-08-28T08:49:46.481Z,GraphQL,Eager,POST,/graphql,200,288.54,3212340
43,2026-08-28T08:50:37.335Z,GraphQL,Eager,POST,/graphql,200,294.00,3212340
44,2026-08-28T08:51:26.961Z,GraphQL,Eager,POST,/graphql,200,289.64,3212340
45,2026-08-28T08:52:13.736Z,GraphQL,Eager,POST,/graphql,200,286.05,3212340
46,2026-08-28T08:53:06.429Z,GraphQL,Eager,POST,/graphql,200,298.46,3212340
47,2026-08-28T08:54:18.940Z,GraphQL,Eager,POST,/graphql,200,301.07,3212340
48,2026-08-28T08:55:07.742Z,GraphQL,Eager,POST,/graphql,200,288.63,3212340
49,2026-08-28T08:56:03.099Z,GraphQL,Eager,POST,/graphql,200,305.65,3212340
50,2026-08-28T08:56:53.665Z,GraphQL,Eager,POST,/graphql,200,280.60,3212340
51,2026-08-28T08:57:44.742Z,GraphQL,Eager,POST,/graphql,200,286.58,3212340
52,2026-08-28T08:58:30.605Z,GraphQL,Eager,POST,/graphql,200,292.81,3212340
53,2026-08-28T08:59:21.387Z,GraphQL,Eager,POST,/graphql,200,284.19,3212340
54,2026-08-28T09:00:07.867Z,GraphQL,Eager,POST,/graphql,200,285.81,3212340
