RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
1,2026-08-28T08:13:21.507Z,REST,Eager,32.00,1464.00
2,2026-08-28T08:13:59.397Z,REST,Eager,52.00,1440.00
3,2026-08-28T08:16:27.471Z,REST,Eager,28.00,1524.00
4,2026-08-28T08:17:16.985Z,REST,Eager,28.00,1368.00
5,2026-08-28T08:18:04.267Z,REST,Eager,24.00,1532.00
6,2026-08-28T08:18:52.869Z,REST,Eager,24.00,1396.00
7,2026-08-28T08:19:44.876Z,REST,Eager,28.00,1388.00
8,2026-08-28T08:20:40.601Z,REST,Eager,24.00,1404.00
9,2026-08-28T08:21:24.402Z,REST,Eager,28.00,1384.00
10,2026-08-28T08:22:10.763Z,REST,Eager,44.00,1376.00
11,2026-08-28T08:23:00.809Z,REST,Eager,24.00,1396.00
12,2026-08-28T08:23:54.476Z,REST,Eager,24.00,1380.00
13,2026-08-28T08:24:39.030Z,REST,Eager,24.00,1380.00
14,2026-08-28T08:25:41.144Z,REST,Eager,24.00,1364.00
15,2026-08-28T08:26:20.666Z,REST,Eager,24.00,1364.00
16,2026-08-28T08:27:16.198Z,REST,Eager,24.00,1400.00
17,2026-08-28T08:27:59.799Z,REST,Eager,28.00,1352.00
18,2026-08-28T08:28:50.440Z,REST,Eager,24.00,1528.00
19,2026-08-28T08:29:39.374Z,REST,Eager,24.00,1384.00
20,2026-08-28T08:30:42.588Z,REST,Eager,44.00,1504.00
21,2026-08-28T08:32:56.683Z,REST,Eager,24.00,1532.00
22,2026-08-28T08:33:47.387Z,REST,Eager,24.00,1388.00
23,2026-08-28T08:34:41.046Z,REST,Eager,28.00,1392.00
24,2026-08-28T08:35:32.731Z,REST,Eager,24.00,1360.00
25,2026-08-28T08:36:18.930Z,REST,Eager,24.00,1380.00
26,2026-08-28T08:37:06.904Z,REST,Eager,24.00,1540.00
27,2026-08-28T08:38:02.635Z,REST,Eager,28.00,1388.00
28,2026-08-28T08:38:43.680Z,REST,Eager,24.00,1368.00
29,2026-08-28T08:40:13.946Z,GraphQL,Eager,44.00,1424.00
30,2026-08-28T08:41:00.083Z,GraphQL,Eager,24.00,1584.00
31,2026-08-28T08:41:49.712Z,GraphQL,Eager,24.00,1408.00
32,2026-08-28T08:42:36.199Z,GraphQL,Eager,32.00,1424.00
33,2026-08-28T08:43:23.286Z,GraphQL,Eager,24.00,1424.00
34,2026-08-28T08:44:15.663Z,GraphQL,Eager,24.00,1432.00
35,2026-08-28T08:45:03.362Z,GraphQL,Eager,32.00,1424.00
36,2026-08-28T08:47:26.655Z,GraphQL,Eager,28.00,1416.00
37,2026-08-28T08:48:16.198Z,GraphQL,Eager,28.00,1420.00
38,2026-08-28T08:49:08.269Z,GraphQL,Eager,28.00,1432.00
39,2026-08-28T08:49:57.412Z,GraphQL,Eager,24.00,1420.00
40,2026-08-28T08:50:48.175Z,GraphQL,Eager,44.00,1420.00
41,2026-08-28T08:51:37.496Z,GraphQL,Eager,24.00,1424.00
42,2026-08-28T08:52:24.358Z,GraphQL,Eager,24.00,1576.00
43,2026-08-28T08:54:13.489Z,GraphQL,Eager,24.00,1432.00
44,2026-08-28T08:54:29.731Z,GraphQL,Eager,24.00,1616.00
45,2026-08-28T08:55:19.361Z,GraphQL,Eager,24.00,1572.00
46,2026-08-28T08:56:13.520Z,GraphQL,Eager,28.00,1464.00
47,2026-08-28T08:57:04.776Z,GraphQL,Eager,28.00,1572.00
48,2026-08-28T08:57:55.051Z,GraphQL,Eager,28.00,1432.00
49,2026-08-28T08:58:47.511Z,GraphQL,Eager,44.00,1432.00
50,2026-08-28T08:59:32.593Z,GraphQL,Eager,24.00,1408.00
51,2026-08-28T09:00:18.743Z,GraphQL,Eager,28.00,1432.00
52,2026-08-28T09:02:38.954Z,GraphQL,Eager,44.00,1504.00
53,2026-08-28T09:03:32.051Z,GraphQL,Eager,44.00,1564.00
54,2026-08-28T09:04:26.575Z,GraphQL,Eager,28.00,1416.00
55,2026-08-28T09:05:16.672Z,GraphQL,Eager,28.00,1424.00
56,2026-08-28T09:06:09.990Z,GraphQL,Eager,28.00,1584.00
57,2026-08-28T09:15:08.537Z,REST,Lazy,24.00,184.00
58,2026-08-28T09:15:14.015Z,REST,Lazy,24.00,256.00
59,2026-08-28T09:15:19.346Z,REST,Lazy,16.00,180.00
60,2026-08-28T09:15:24.765Z,REST,Lazy,28.00,196.00
61,2026-08-28T09:15:30.223Z,REST,Lazy,20.00,168.00
62,2026-08-28T09:15:35.574Z,REST,Lazy,32.00,196.00
63,2026-08-28T09:15:40.947Z,REST,Lazy,20.00,164.00
64,2026-08-28T09:15:46.370Z,REST,Lazy,20.00,184.00
65,2026-08-28T09:15:51.828Z,REST,Lazy,16.00,232.00
66,2026-08-28T09:15:57.169Z,REST,Lazy,32.00,164.00
67,2026-08-28T09:16:02.579Z,REST,Lazy,16.00,164.00
68,2026-08-28T09:16:08.085Z,REST,Lazy,20.00,268.00
69,2026-08-28T09:16:13.512Z,REST,Lazy,32.00,164.00
70,2026-08-28T09:16:18.978Z,REST,Lazy,20.00,168.00
71,2026-08-28T09:16:24.348Z,REST,Lazy,16.00,216.00
72,2026-08-28T09:16:29.706Z,REST,Lazy,20.00,68.00
73,2026-08-28T09:16:35.111Z,REST,Lazy,32.00,164.00
74,2026-08-28T09:16:40.583Z,REST,Lazy,32.00,228.00
75,2026-08-28T09:16:45.944Z,REST,Lazy,20.00,184.00
76,2026-08-28T09:16:51.331Z,REST,Lazy,16.00,164.00
77,2026-08-28T09:16:56.823Z,REST,Lazy,20.00,252.00
78,2026-08-28T09:17:02.164Z,REST,Lazy,16.00,180.00
79,2026-08-28T09:17:07.570Z,REST,Lazy,20.00,180.00
80,2026-08-28T09:17:13.047Z,REST,Lazy,20.00,248.00
81,2026-08-28T09:17:18.369Z,REST,Lazy,16.00,164.00
82,2026-08-28T09:17:23.812Z,REST,Lazy,32.00,196.00
83,2026-08-28T09:17:29.270Z,REST,Lazy,16.00,228.00
84,2026-08-28T09:17:34.612Z,REST,Lazy,20.00,168.00
85,2026-08-28T09:17:40.002Z,REST,Lazy,32.00,148.00
86,2026-08-28T09:17:45.495Z,REST,Lazy,20.00,184.00
87,2026-08-28T09:19:16.843Z,GraphQL,Lazy,24.00,272.00
88,2026-08-28T09:19:22.262Z,GraphQL,Lazy,32.00,180.00
89,2026-08-28T09:19:27.725Z,GraphQL,Lazy,20.00,152.00
90,2026-08-28T09:19:33.114Z,GraphQL,Lazy,20.00,216.00
91,2026-08-28T09:19:38.473Z,GraphQL,Lazy,20.00,168.00
92,2026-08-28T09:19:43.900Z,GraphQL,Lazy,16.00,180.00
93,2026-08-28T09:19:49.329Z,GraphQL,Lazy,16.00,196.00
94,2026-08-28T09:19:54.705Z,GraphQL,Lazy,20.00,72.00
95,2026-08-28T09:20:00.114Z,GraphQL,Lazy,20.00,168.00
96,2026-08-28T09:20:05.596Z,GraphQL,Lazy,16.00,196.00
97,2026-08-28T09:20:10.955Z,GraphQL,Lazy,20.00,168.00
98,2026-08-28T09:20:16.320Z,GraphQL,Lazy,20.00,168.00
99,2026-08-28T09:20:21.814Z,GraphQL,Lazy,36.00,232.00
100,2026-08-28T09:20:27.155Z,GraphQL,Lazy,20.00,184.00
101,2026-08-28T09:20:32.564Z,GraphQL,Lazy,20.00,184.00
102,2026-08-28T09:20:38.054Z,GraphQL,Lazy,20.00,232.00
103,2026-08-28T09:20:43.381Z,GraphQL,Lazy,20.00,68.00
104,2026-08-28T09:20:48.812Z,GraphQL,Lazy,16.00,164.00
105,2026-08-28T09:20:54.315Z,GraphQL,Lazy,16.00,248.00
106,2026-08-28T09:20:59.729Z,GraphQL,Lazy,16.00,168.00
107,2026-08-28T09:21:05.225Z,GraphQL,Lazy,20.00,184.00
108,2026-08-28T09:21:10.614Z,GraphQL,Lazy,28.00,228.00
109,2026-08-28T09:21:15.976Z,GraphQL,Lazy,32.00,180.00
110,2026-08-28T09:21:21.372Z,GraphQL,Lazy,28.00,144.00
111,2026-08-28T09:21:26.766Z,GraphQL,Lazy,20.00,252.00
112,2026-08-28T09:21:32.093Z,GraphQL,Lazy,32.00,164.00
113,2026-08-28T09:21:37.517Z,GraphQL,Lazy,32.00,164.00
114,2026-08-28T09:21:42.998Z,GraphQL,Lazy,32.00,180.00
115,2026-08-28T09:21:48.362Z,GraphQL,Lazy,20.00,200.00
116,2026-08-28T09:21:53.753Z,GraphQL,Lazy,20.00,184.00
