RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-28T09:40:06.232Z,REST,Eager,POST,/fetchMovies,200,38.38,54938
2,2026-08-28T09:40:12.702Z,REST,Eager,POST,/fetchMovies,200,23.79,54938
3,2026-08-28T09:40:18.214Z,REST,Eager,POST,/fetchMovies,200,19.30,54938
4,2026-08-28T09:40:23.624Z,REST,Eager,POST,/fetchMovies,200,17.59,54938
5,2026-08-28T09:40:29.142Z,REST,Eager,POST,/fetchMovies,200,22.90,54938
6,2026-08-28T09:40:34.546Z,REST,Eager,POST,/fetchMovies,200,22.22,54938
7,2026-08-28T09:40:39.952Z,REST,Eager,POST,/fetchMovies,200,22.23,54938
8,2026-08-28T09:40:45.459Z,REST,Eager,POST,/fetchMovies,200,22.95,54938
9,2026-08-28T09:40:50.866Z,REST,Eager,POST,/fetchMovies,200,22.41,54938
10,2026-08-28T09:40:56.385Z,REST,Eager,POST,/fetchMovies,200,23.26,54938
11,2026-08-28T09:41:01.885Z,REST,Eager,POST,/fetchMovies,200,19.26,54938
12,2026-08-28T09:41:07.410Z,REST,Eager,POST,/fetchMovies,200,24.24,54938
13,2026-08-28T09:41:12.814Z,REST,Eager,POST,/fetchMovies,200,20.88,54938
14,2026-08-28T09:41:18.220Z,REST,Eager,POST,/fetchMovies,200,21.68,54938
15,2026-08-28T09:41:23.732Z,REST,Eager,POST,/fetchMovies,200,23.97,54938
16,2026-08-28T09:41:29.136Z,REST,Eager,POST,/fetchMovies,200,21.52,54938
17,2026-08-28T09:41:34.540Z,REST,Eager,POST,/fetchMovies,200,22.65,54938
18,2026-08-28T09:41:40.038Z,REST,Eager,POST,/fetchMovies,200,20.23,54938
19,2026-08-28T09:41:45.456Z,REST,Eager,POST,/fetchMovies,200,23.03,54938
20,2026-08-28T09:41:50.962Z,REST,Eager,POST,/fetchMovies,200,22.37,54938
21,2026-08-28T09:41:56.346Z,REST,Eager,POST,/fetchMovies,200,20.10,54938
22,2026-08-28T09:42:01.753Z,REST,Eager,POST,/fetchMovies,200,22.74,54938
23,2026-08-28T09:42:07.259Z,REST,Eager,POST,/fetchMovies,200,20.73,54938
24,2026-08-28T09:42:12.668Z,REST,Eager,POST,/fetchMovies,200,23.04,54938
25,2026-08-28T09:42:18.079Z,REST,Eager,POST,/fetchMovies,200,22.51,54938
26,2026-08-28T09:42:23.592Z,REST,Eager,POST,/fetchMovies,200,21.82,54938
27,2026-08-28T09:42:29.001Z,REST,Eager,POST,/fetchMovies,200,25.01,54938
28,2026-08-28T09:42:34.501Z,REST,Eager,POST,/fetchMovies,200,18.51,54938
29,2026-08-28T09:42:39.917Z,REST,Eager,POST,/fetchMovies,200,24.90,54938
30,2026-08-28T09:42:45.319Z,REST,Eager,POST,/fetchMovies,200,22.81,54938
31,2026-08-28T09:44:16.682Z,GraphQL,Eager,POST,/graphql,200,24.17,23541
32,2026-08-28T09:44:22.206Z,GraphQL,Eager,POST,/graphql,200,26.93,23541
33,2026-08-28T09:44:27.718Z,GraphQL,Eager,POST,/graphql,200,26.17,23541
34,2026-08-28T09:44:33.120Z,GraphQL,Eager,POST,/graphql,200,23.14,23541
35,2026-08-28T09:44:38.538Z,GraphQL,Eager,POST,/graphql,200,25.55,23541
36,2026-08-28T09:44:44.049Z,GraphQL,Eager,POST,/graphql,200,17.87,23541
37,2026-08-28T09:44:49.467Z,GraphQL,Eager,POST,/graphql,200,23.20,23541
38,2026-08-28T09:44:54.978Z,GraphQL,Eager,POST,/graphql,200,21.81,23541
39,2026-08-28T09:45:00.359Z,GraphQL,Eager,POST,/graphql,200,21.03,23541
40,2026-08-28T09:45:05.768Z,GraphQL,Eager,POST,/graphql,200,24.85,23541
41,2026-08-28T09:45:11.283Z,GraphQL,Eager,POST,/graphql,200,23.61,23541
42,2026-08-28T09:45:16.685Z,GraphQL,Eager,POST,/graphql,200,23.84,23541
43,2026-08-28T09:45:22.303Z,GraphQL,Eager,POST,/graphql,200,24.83,23541
44,2026-08-28T09:45:27.720Z,GraphQL,Eager,POST,/graphql,200,25.22,23541
45,2026-08-28T09:45:33.234Z,GraphQL,Eager,POST,/graphql,200,23.92,23541
46,2026-08-28T09:45:38.643Z,GraphQL,Eager,POST,/graphql,200,22.72,23541
47,2026-08-28T09:45:44.053Z,GraphQL,Eager,POST,/graphql,200,23.72,23541
48,2026-08-28T09:45:49.566Z,GraphQL,Eager,POST,/graphql,200,21.56,23541
49,2026-08-28T09:45:54.977Z,GraphQL,Eager,POST,/graphql,200,23.68,23541
50,2026-08-28T09:46:00.592Z,GraphQL,Eager,POST,/graphql,200,20.98,23541
51,2026-08-28T09:46:06.003Z,GraphQL,Eager,POST,/graphql,200,22.91,23541
52,2026-08-28T09:46:11.515Z,GraphQL,Eager,POST,/graphql,200,23.75,23541
53,2026-08-28T09:46:16.936Z,GraphQL,Eager,POST,/graphql,200,22.50,23541
54,2026-08-28T09:46:22.350Z,GraphQL,Eager,POST,/graphql,200,23.27,23541
55,2026-08-28T09:46:27.865Z,GraphQL,Eager,POST,/graphql,200,23.21,23541
56,2026-08-28T09:46:33.280Z,GraphQL,Eager,POST,/graphql,200,22.35,23541
57,2026-08-28T09:46:38.896Z,GraphQL,Eager,POST,/graphql,200,24.05,23541
58,2026-08-28T09:46:44.306Z,GraphQL,Eager,POST,/graphql,200,21.82,23541
59,2026-08-28T09:46:49.830Z,GraphQL,Eager,POST,/graphql,200,24.90,23541
60,2026-08-28T09:46:55.243Z,GraphQL,Eager,POST,/graphql,200,22.28,23541
61,2026-08-28T10:00:02.162Z,REST,Lazy,POST,/fetchMovies,200,26.82,9279
62,2026-08-28T10:00:07.551Z,REST,Lazy,POST,/fetchMovies,200,27.60,9279
63,2026-08-28T10:00:12.957Z,REST,Lazy,POST,/fetchMovies,200,21.79,9279
64,2026-08-28T10:00:18.356Z,REST,Lazy,POST,/fetchMovies,200,21.64,9279
65,2026-08-28T10:00:23.661Z,REST,Lazy,POST,/fetchMovies,200,21.80,9279
66,2026-08-28T10:00:28.966Z,REST,Lazy,POST,/fetchMovies,200,20.58,9279
67,2026-08-28T10:00:34.272Z,REST,Lazy,POST,/fetchMovies,200,20.98,9279
68,2026-08-28T10:00:39.594Z,REST,Lazy,POST,/fetchMovies,200,22.41,9279
69,2026-08-28T10:00:45.000Z,REST,Lazy,POST,/fetchMovies,200,18.41,9279
70,2026-08-28T10:00:50.287Z,REST,Lazy,POST,/fetchMovies,200,17.18,9279
71,2026-08-28T10:00:55.623Z,REST,Lazy,POST,/fetchMovies,200,38.31,9279
72,2026-08-28T10:01:01.001Z,REST,Lazy,POST,/fetchMovies,200,18.68,9279
73,2026-08-28T10:01:06.307Z,REST,Lazy,POST,/fetchMovies,200,16.92,9279
74,2026-08-28T10:01:11.717Z,REST,Lazy,POST,/fetchMovies,200,23.23,9279
75,2026-08-28T10:01:17.055Z,REST,Lazy,POST,/fetchMovies,200,29.68,9279
76,2026-08-28T10:01:22.471Z,REST,Lazy,POST,/fetchMovies,200,19.76,9279
77,2026-08-28T10:01:27.776Z,REST,Lazy,POST,/fetchMovies,200,22.76,9279
78,2026-08-28T10:01:33.184Z,REST,Lazy,POST,/fetchMovies,200,24.30,9279
79,2026-08-28T10:01:38.589Z,REST,Lazy,POST,/fetchMovies,200,21.55,9279
80,2026-08-28T10:01:43.893Z,REST,Lazy,POST,/fetchMovies,200,22.29,9279
81,2026-08-28T10:01:49.200Z,REST,Lazy,POST,/fetchMovies,200,23.54,9279
82,2026-08-28T10:01:54.505Z,REST,Lazy,POST,/fetchMovies,200,23.98,9279
83,2026-08-28T10:01:59.908Z,REST,Lazy,POST,/fetchMovies,200,21.58,9279
84,2026-08-28T10:02:05.312Z,REST,Lazy,POST,/fetchMovies,200,22.71,9279
85,2026-08-28T10:02:10.617Z,REST,Lazy,POST,/fetchMovies,200,22.58,9279
86,2026-08-28T10:02:15.920Z,REST,Lazy,POST,/fetchMovies,200,20.04,9279
87,2026-08-28T10:02:21.230Z,REST,Lazy,POST,/fetchMovies,200,25.09,9279
88,2026-08-28T10:02:26.532Z,REST,Lazy,POST,/fetchMovies,200,23.04,9279
89,2026-08-28T10:02:31.939Z,REST,Lazy,POST,/fetchMovies,200,22.04,9279
90,2026-08-28T10:02:37.243Z,REST,Lazy,POST,/fetchMovies,200,23.61,9279
91,2026-08-28T10:04:08.632Z,GraphQL,Lazy,POST,/graphql,200,23.87,4032
92,2026-08-28T10:04:13.942Z,GraphQL,Lazy,POST,/graphql,200,23.88,4032
93,2026-08-28T10:04:19.246Z,GraphQL,Lazy,POST,/graphql,200,25.27,4032
94,2026-08-28T10:04:24.661Z,GraphQL,Lazy,POST,/graphql,200,25.27,4032
95,2026-08-28T10:04:29.964Z,GraphQL,Lazy,POST,/graphql,200,21.69,4032
96,2026-08-28T10:04:35.270Z,GraphQL,Lazy,POST,/graphql,200,21.51,4032
97,2026-08-28T10:04:40.575Z,GraphQL,Lazy,POST,/graphql,200,21.77,4032
98,2026-08-28T10:04:45.876Z,GraphQL,Lazy,POST,/graphql,200,21.64,4032
