RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-28T10:33:58.230Z,REST,Eager,POST,/fetchMovies,200,22.57,12757
2,2026-08-28T10:34:03.612Z,REST,Eager,POST,/fetchMovies,200,9.39,12757
3,2026-08-28T10:34:08.914Z,REST,Eager,POST,/fetchMovies,200,6.94,12757
4,2026-08-28T10:34:14.296Z,REST,Eager,POST,/fetchMovies,200,7.90,12757
5,2026-08-28T10:34:19.718Z,REST,Eager,POST,/fetchMovies,200,12.76,12757
6,2026-08-28T10:34:25.122Z,REST,Eager,POST,/fetchMovies,200,13.28,12757
7,2026-08-28T10:34:30.427Z,REST,Eager,POST,/fetchMovies,200,11.94,12757
8,2026-08-28T10:34:35.734Z,REST,Eager,POST,/fetchMovies,200,12.65,12757
9,2026-08-28T10:34:41.036Z,REST,Eager,POST,/fetchMovies,200,10.52,12757
10,2026-08-28T10:34:46.437Z,REST,Eager,POST,/fetchMovies,200,7.93,12757
11,2026-08-28T10:34:51.852Z,REST,Eager,POST,/fetchMovies,200,10.10,12757
12,2026-08-28T10:34:57.155Z,REST,Eager,POST,/fetchMovies,200,9.78,12757
13,2026-08-28T10:35:02.460Z,REST,Eager,POST,/fetchMovies,200,7.06,12757
14,2026-08-28T10:35:07.866Z,REST,Eager,POST,/fetchMovies,200,10.32,12757
15,2026-08-28T10:35:13.279Z,REST,Eager,POST,/fetchMovies,200,9.34,12757
16,2026-08-28T10:35:18.686Z,REST,Eager,POST,/fetchMovies,200,10.91,12757
17,2026-08-28T10:35:24.001Z,REST,Eager,POST,/fetchMovies,200,9.99,12757
18,2026-08-28T10:35:29.307Z,REST,Eager,POST,/fetchMovies,200,11.26,12757
19,2026-08-28T10:35:34.702Z,REST,Eager,POST,/fetchMovies,200,6.67,12757
20,2026-08-28T10:35:40.118Z,REST,Eager,POST,/fetchMovies,200,10.22,12757
21,2026-08-28T10:35:45.532Z,REST,Eager,POST,/fetchMovies,200,10.95,12757
22,2026-08-28T10:35:50.943Z,REST,Eager,POST,/fetchMovies,200,10.63,12757
23,2026-08-28T10:35:56.344Z,REST,Eager,POST,/fetchMovies,200,8.90,12757
24,2026-08-28T10:36:01.754Z,REST,Eager,POST,/fetchMovies,200,11.47,12757
25,2026-08-28T10:36:07.161Z,REST,Eager,POST,/fetchMovies,200,9.19,12757
26,2026-08-28T10:36:12.570Z,REST,Eager,POST,/fetchMovies,200,13.24,12757
27,2026-08-28T10:36:17.971Z,REST,Eager,POST,/fetchMovies,200,11.12,12757
28,2026-08-28T10:36:23.375Z,REST,Eager,POST,/fetchMovies,200,10.73,12757
29,2026-08-28T10:36:28.778Z,REST,Eager,POST,/fetchMovies,200,9.52,12757
30,2026-08-28T10:36:34.185Z,REST,Eager,POST,/fetchMovies,200,10.22,12757
31,2026-08-28T10:38:05.527Z,GraphQL,Eager,POST,/graphql,200,12.92,5609
32,2026-08-28T10:38:10.941Z,GraphQL,Eager,POST,/graphql,200,14.62,5609
33,2026-08-28T10:38:16.352Z,GraphQL,Eager,POST,/graphql,200,15.36,5609
34,2026-08-28T10:38:21.754Z,GraphQL,Eager,POST,/graphql,200,11.60,5609
35,2026-08-28T10:38:27.066Z,GraphQL,Eager,POST,/graphql,200,12.82,5609
36,2026-08-28T10:38:32.477Z,GraphQL,Eager,POST,/graphql,200,10.49,5609
37,2026-08-28T10:38:37.785Z,GraphQL,Eager,POST,/graphql,200,13.22,5609
38,2026-08-28T10:38:43.100Z,GraphQL,Eager,POST,/graphql,200,12.85,5609
39,2026-08-28T10:38:48.408Z,GraphQL,Eager,POST,/graphql,200,9.18,5609
40,2026-08-28T10:38:53.817Z,GraphQL,Eager,POST,/graphql,200,10.33,5609
41,2026-08-28T10:38:59.230Z,GraphQL,Eager,POST,/graphql,200,11.74,5609
42,2026-08-28T10:39:04.642Z,GraphQL,Eager,POST,/graphql,200,9.47,5609
43,2026-08-28T10:39:10.167Z,GraphQL,Eager,POST,/graphql,200,13.83,5609
44,2026-08-28T10:39:15.574Z,GraphQL,Eager,POST,/graphql,200,7.98,5609
45,2026-08-28T10:39:20.881Z,GraphQL,Eager,POST,/graphql,200,8.13,5609
46,2026-08-28T10:39:26.196Z,GraphQL,Eager,POST,/graphql,200,11.16,5609
47,2026-08-28T10:39:31.609Z,GraphQL,Eager,POST,/graphql,200,9.17,5609
48,2026-08-28T10:39:37.025Z,GraphQL,Eager,POST,/graphql,200,9.99,5609
49,2026-08-28T10:39:42.446Z,GraphQL,Eager,POST,/graphql,200,9.95,5609
50,2026-08-28T10:39:47.855Z,GraphQL,Eager,POST,/graphql,200,9.34,5609
51,2026-08-28T10:39:53.266Z,GraphQL,Eager,POST,/graphql,200,9.50,5609
52,2026-08-28T10:39:58.681Z,GraphQL,Eager,POST,/graphql,200,9.61,5609
53,2026-08-28T10:40:04.004Z,GraphQL,Eager,POST,/graphql,200,12.92,5609
54,2026-08-28T10:40:09.414Z,GraphQL,Eager,POST,/graphql,200,10.68,5609
55,2026-08-28T10:40:14.823Z,GraphQL,Eager,POST,/graphql,200,8.76,5609
56,2026-08-28T10:40:20.242Z,GraphQL,Eager,POST,/graphql,200,9.85,5609
57,2026-08-28T10:40:25.650Z,GraphQL,Eager,POST,/graphql,200,10.37,5609
58,2026-08-28T10:40:31.064Z,GraphQL,Eager,POST,/graphql,200,12.27,5609
59,2026-08-28T10:40:36.476Z,GraphQL,Eager,POST,/graphql,200,8.51,5609
60,2026-08-28T10:40:41.787Z,GraphQL,Eager,POST,/graphql,200,10.91,5609
61,2026-08-28T10:44:40.657Z,REST,Lazy,POST,/fetchMovies,200,12.59,9147
62,2026-08-28T10:44:46.064Z,REST,Lazy,POST,/fetchMovies,200,14.33,9147
63,2026-08-28T10:44:51.366Z,REST,Lazy,POST,/fetchMovies,200,10.12,9147
64,2026-08-28T10:44:56.774Z,REST,Lazy,POST,/fetchMovies,200,12.55,9147
65,2026-08-28T10:45:02.075Z,REST,Lazy,POST,/fetchMovies,200,11.24,9147
66,2026-08-28T10:45:07.381Z,REST,Lazy,POST,/fetchMovies,200,8.58,9147
67,2026-08-28T10:45:12.687Z,REST,Lazy,POST,/fetchMovies,200,11.23,9147
68,2026-08-28T10:45:17.991Z,REST,Lazy,POST,/fetchMovies,200,9.38,9147
69,2026-08-28T10:45:23.305Z,REST,Lazy,POST,/fetchMovies,200,12.63,9147
70,2026-08-28T10:45:28.606Z,REST,Lazy,POST,/fetchMovies,200,11.51,9147
71,2026-08-28T10:45:34.016Z,REST,Lazy,POST,/fetchMovies,200,8.83,9147
72,2026-08-28T10:45:39.321Z,REST,Lazy,POST,/fetchMovies,200,9.54,9147
