RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-27T21:47:11.249Z,REST,Eager,POST,/fetchMovies,200,261.57,10173161
2,2026-08-27T21:48:34.474Z,REST,Eager,POST,/fetchMovies,200,291.54,10173161
3,2026-08-27T21:49:53.602Z,REST,Eager,POST,/fetchMovies,200,305.75,10173161
4,2026-08-27T21:51:08.329Z,REST,Eager,POST,/fetchMovies,200,298.52,10173161
5,2026-08-27T21:52:21.874Z,REST,Eager,POST,/fetchMovies,200,316.05,10173161
6,2026-08-27T21:53:39.015Z,REST,Eager,POST,/fetchMovies,200,333.04,10173161
7,2026-08-27T21:54:53.998Z,REST,Eager,POST,/fetchMovies,200,300.03,10173161
8,2026-08-27T21:56:15.452Z,REST,Eager,POST,/fetchMovies,200,322.25,10173161
9,2026-08-27T21:57:30.078Z,REST,Eager,POST,/fetchMovies,200,311.54,10173161
10,2026-08-27T21:58:41.073Z,REST,Eager,POST,/fetchMovies,200,281.29,10173161
11,2026-08-27T22:00:08.910Z,REST,Eager,POST,/fetchMovies,200,300.38,10173161
12,2026-08-27T22:01:23.643Z,REST,Eager,POST,/fetchMovies,200,314.63,10173161
13,2026-08-27T22:02:31.512Z,REST,Eager,POST,/fetchMovies,200,277.67,10173161
14,2026-08-27T22:03:46.010Z,REST,Eager,POST,/fetchMovies,200,285.79,10173161
15,2026-08-27T22:04:59.494Z,REST,Eager,POST,/fetchMovies,200,284.27,10173161
16,2026-08-27T22:06:14.330Z,REST,Eager,POST,/fetchMovies,200,292.47,10173161
17,2026-08-27T22:07:29.318Z,REST,Eager,POST,/fetchMovies,200,270.44,10173161
18,2026-08-27T22:08:43.951Z,REST,Eager,POST,/fetchMovies,200,290.92,10173161
19,2026-08-27T22:10:02.308Z,REST,Eager,POST,/fetchMovies,200,282.01,10173161
20,2026-08-27T22:11:14.702Z,REST,Eager,POST,/fetchMovies,200,284.05,10173161
21,2026-08-27T22:12:26.701Z,REST,Eager,POST,/fetchMovies,200,289.55,10173161
22,2026-08-27T22:14:08.803Z,REST,Eager,POST,/fetchMovies,200,318.88,10173161
23,2026-08-27T22:15:47.953Z,REST,Eager,POST,/fetchMovies,200,306.38,10173161
24,2026-08-27T22:16:54.118Z,REST,Eager,POST,/fetchMovies,200,283.39,10173161
25,2026-08-27T22:18:03.943Z,REST,Eager,POST,/fetchMovies,200,268.48,10173161
26,2026-08-27T22:19:15.291Z,REST,Eager,POST,/fetchMovies,200,292.27,10173161
27,2026-08-27T22:20:35.851Z,REST,Eager,POST,/fetchMovies,200,275.12,10173161
28,2026-08-27T22:21:47.843Z,REST,Eager,POST,/fetchMovies,200,276.30,10173161
29,2026-08-27T22:23:04.849Z,REST,Eager,POST,/fetchMovies,200,270.81,10173161
30,2026-08-27T22:24:19.549Z,REST,Eager,POST,/fetchMovies,200,277.61,10173161
31,2026-08-27T22:25:50.702Z,GraphQL,Eager,POST,/graphql,200,397.11,3994940
32,2026-08-27T22:27:04.482Z,GraphQL,Eager,POST,/graphql,200,431.46,3994940
33,2026-08-27T22:28:35.200Z,GraphQL,Eager,POST,/graphql,200,422.12,3994940
34,2026-08-27T22:29:57.211Z,GraphQL,Eager,POST,/graphql,200,418.33,3994940
35,2026-08-27T22:31:14.936Z,GraphQL,Eager,POST,/graphql,200,418.26,3994940
36,2026-08-27T22:32:27.858Z,GraphQL,Eager,POST,/graphql,200,420.72,3994940
37,2026-08-27T22:33:48.000Z,GraphQL,Eager,POST,/graphql,200,428.60,3994940
38,2026-08-27T22:34:59.814Z,GraphQL,Eager,POST,/graphql,200,417.25,3994940
39,2026-08-27T22:36:28.825Z,GraphQL,Eager,POST,/graphql,200,422.85,3994940
40,2026-08-27T22:37:50.947Z,GraphQL,Eager,POST,/graphql,200,421.45,3994940
41,2026-08-27T22:39:07.195Z,GraphQL,Eager,POST,/graphql,200,423.05,3994940
42,2026-08-27T22:40:25.050Z,GraphQL,Eager,POST,/graphql,200,425.35,3994940
43,2026-08-27T22:41:41.892Z,GraphQL,Eager,POST,/graphql,200,425.04,3994940
44,2026-08-27T22:43:11.354Z,GraphQL,Eager,POST,/graphql,200,431.29,3994940
45,2026-08-27T22:44:30.860Z,GraphQL,Eager,POST,/graphql,200,421.03,3994940
46,2026-08-27T22:45:48.136Z,GraphQL,Eager,POST,/graphql,200,419.32,3994940
