RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
1,2026-08-27T21:47:27.269Z,REST,Eager,32.00,1840.00
2,2026-08-27T21:48:49.765Z,REST,Eager,28.00,1832.00
3,2026-08-27T21:50:06.661Z,REST,Eager,28.00,1832.00
4,2026-08-27T21:51:22.875Z,REST,Eager,28.00,1836.00
5,2026-08-27T21:52:36.083Z,REST,Eager,24.00,1868.00
6,2026-08-27T21:53:52.741Z,REST,Eager,24.00,1872.00
7,2026-08-27T21:55:09.662Z,REST,Eager,28.00,1868.00
8,2026-08-27T21:56:36.190Z,REST,Eager,24.00,1880.00
9,2026-08-27T21:57:44.314Z,REST,Eager,32.00,1852.00
10,2026-08-27T21:58:54.606Z,REST,Eager,28.00,1820.00
11,2026-08-27T22:00:22.722Z,REST,Eager,28.00,1844.00
12,2026-08-27T22:01:37.507Z,REST,Eager,28.00,1996.00
13,2026-08-27T22:02:46.231Z,REST,Eager,28.00,1780.00
14,2026-08-27T22:03:59.521Z,REST,Eager,28.00,1820.00
15,2026-08-27T22:05:14.118Z,REST,Eager,28.00,1796.00
16,2026-08-27T22:06:27.129Z,REST,Eager,28.00,1816.00
17,2026-08-27T22:07:43.632Z,REST,Eager,28.00,1780.00
18,2026-08-27T22:08:59.450Z,REST,Eager,28.00,1792.00
19,2026-08-27T22:10:16.251Z,REST,Eager,24.00,1944.00
20,2026-08-27T22:11:28.894Z,REST,Eager,24.00,1776.00
21,2026-08-27T22:12:47.578Z,REST,Eager,44.00,1800.00
22,2026-08-27T22:14:23.581Z,REST,Eager,44.00,2148.00
23,2026-08-27T22:16:18.773Z,REST,Eager,40.00,1980.00
24,2026-08-27T22:17:14.983Z,REST,Eager,28.00,1824.00
25,2026-08-27T22:18:17.638Z,REST,Eager,28.00,1800.00
26,2026-08-27T22:19:30.110Z,REST,Eager,28.00,1804.00
27,2026-08-27T22:20:49.009Z,REST,Eager,16.00,1816.00
28,2026-08-27T22:22:02.094Z,REST,Eager,28.00,1824.00
29,2026-08-27T22:23:18.242Z,REST,Eager,28.00,1800.00
30,2026-08-27T22:24:33.321Z,REST,Eager,44.00,1960.00
31,2026-08-27T22:26:04.497Z,GraphQL,Eager,20.00,1916.00
32,2026-08-27T22:27:19.308Z,GraphQL,Eager,28.00,1972.00
33,2026-08-27T22:28:49.770Z,GraphQL,Eager,28.00,1988.00
34,2026-08-27T22:30:10.405Z,GraphQL,Eager,44.00,1924.00
35,2026-08-27T22:31:29.504Z,GraphQL,Eager,24.00,1996.00
36,2026-08-27T22:32:42.066Z,GraphQL,Eager,28.00,1936.00
37,2026-08-27T22:34:02.317Z,GraphQL,Eager,44.00,1996.00
38,2026-08-27T22:35:14.831Z,GraphQL,Eager,32.00,1948.00
39,2026-08-27T22:36:44.344Z,GraphQL,Eager,28.00,1972.00
40,2026-08-27T22:38:05.087Z,GraphQL,Eager,28.00,1964.00
41,2026-08-27T22:39:20.670Z,GraphQL,Eager,44.00,1932.00
42,2026-08-27T22:40:39.036Z,GraphQL,Eager,28.00,1976.00
43,2026-08-27T22:41:57.267Z,GraphQL,Eager,48.00,1964.00
44,2026-08-27T22:43:24.603Z,GraphQL,Eager,28.00,2132.00
45,2026-08-27T22:44:43.719Z,GraphQL,Eager,44.00,1968.00
46,2026-08-27T22:46:02.925Z,GraphQL,Eager,28.00,2116.00
47,2026-08-27T22:47:17.994Z,GraphQL,Eager,24.00,1948.00
48,2026-08-27T22:48:31.541Z,GraphQL,Eager,24.00,1944.00
49,2026-08-27T22:49:41.507Z,GraphQL,Eager,24.00,1960.00
50,2026-08-27T22:50:58.568Z,GraphQL,Eager,24.00,1960.00
51,2026-08-27T22:52:16.557Z,GraphQL,Eager,24.00,2112.00
52,2026-08-27T22:53:30.334Z,GraphQL,Eager,24.00,2108.00
53,2026-08-27T22:54:54.877Z,GraphQL,Eager,24.00,1948.00
54,2026-08-27T22:56:15.386Z,GraphQL,Eager,24.00,2004.00
55,2026-08-27T22:57:34.129Z,GraphQL,Eager,28.00,1976.00
56,2026-08-27T22:59:07.143Z,GraphQL,Eager,20.00,2064.00
57,2026-08-27T23:00:32.904Z,GraphQL,Eager,28.00,2028.00
58,2026-08-27T23:01:58.744Z,GraphQL,Eager,24.00,1968.00
59,2026-08-27T23:03:18.954Z,GraphQL,Eager,24.00,1992.00
60,2026-08-27T23:04:51.003Z,GraphQL,Eager,28.00,1952.00
61,2026-08-27T23:15:23.838Z,REST,Lazy,36.00,224.00
62,2026-08-27T23:15:29.324Z,REST,Lazy,28.00,264.00
63,2026-08-27T23:15:34.650Z,REST,Lazy,24.00,176.00
64,2026-08-27T23:15:40.114Z,REST,Lazy,20.00,68.00
65,2026-08-27T23:15:45.466Z,REST,Lazy,32.00,164.00
66,2026-08-27T23:15:50.873Z,REST,Lazy,16.00,184.00
67,2026-08-27T23:15:56.417Z,REST,Lazy,28.00,84.00
68,2026-08-27T23:16:01.794Z,REST,Lazy,20.00,84.00
69,2026-08-27T23:16:07.202Z,REST,Lazy,20.00,180.00
70,2026-08-27T23:16:12.675Z,REST,Lazy,32.00,84.00
71,2026-08-27T23:16:18.034Z,REST,Lazy,16.00,100.00
72,2026-08-27T23:16:23.436Z,REST,Lazy,28.00,196.00
73,2026-08-27T23:16:28.910Z,REST,Lazy,20.00,268.00
74,2026-08-27T23:16:34.348Z,REST,Lazy,20.00,184.00
75,2026-08-27T23:16:39.718Z,REST,Lazy,20.00,168.00
76,2026-08-27T23:16:45.219Z,REST,Lazy,32.00,84.00
77,2026-08-27T23:16:50.540Z,REST,Lazy,32.00,180.00
78,2026-08-27T23:16:55.965Z,REST,Lazy,32.00,180.00
79,2026-08-27T23:17:01.440Z,REST,Lazy,32.00,84.00
80,2026-08-27T23:17:06.868Z,REST,Lazy,20.00,164.00
81,2026-08-27T23:17:12.420Z,REST,Lazy,16.00,216.00
82,2026-08-27T23:17:17.779Z,REST,Lazy,32.00,84.00
83,2026-08-27T23:17:23.185Z,REST,Lazy,32.00,164.00
84,2026-08-27T23:17:28.660Z,REST,Lazy,20.00,268.00
85,2026-08-27T23:17:34.052Z,REST,Lazy,32.00,80.00
86,2026-08-27T23:17:39.347Z,REST,Lazy,32.00,84.00
87,2026-08-27T23:17:44.693Z,REST,Lazy,20.00,168.00
88,2026-08-27T23:17:50.032Z,REST,Lazy,28.00,80.00
89,2026-08-27T23:17:55.491Z,REST,Lazy,20.00,248.00
90,2026-08-27T23:18:00.876Z,REST,Lazy,28.00,80.00
91,2026-08-27T23:19:31.450Z,GraphQL,Lazy,24.00,100.00
92,2026-08-27T23:19:36.802Z,GraphQL,Lazy,32.00,96.00
93,2026-08-27T23:19:42.170Z,GraphQL,Lazy,32.00,160.00
94,2026-08-27T23:19:47.585Z,GraphQL,Lazy,16.00,184.00
95,2026-08-27T23:19:53.018Z,GraphQL,Lazy,28.00,160.00
96,2026-08-27T23:19:58.435Z,GraphQL,Lazy,20.00,184.00
97,2026-08-27T23:20:03.903Z,GraphQL,Lazy,28.00,80.00
98,2026-08-27T23:20:09.250Z,GraphQL,Lazy,20.00,84.00
99,2026-08-27T23:20:14.652Z,GraphQL,Lazy,20.00,84.00
100,2026-08-27T23:20:20.143Z,GraphQL,Lazy,32.00,264.00
101,2026-08-27T23:20:25.484Z,GraphQL,Lazy,20.00,180.00
102,2026-08-27T23:20:30.870Z,GraphQL,Lazy,32.00,164.00
103,2026-08-27T23:20:36.342Z,GraphQL,Lazy,32.00,180.00
104,2026-08-27T23:20:41.768Z,GraphQL,Lazy,20.00,184.00
105,2026-08-27T23:20:47.204Z,GraphQL,Lazy,20.00,200.00
106,2026-08-27T23:20:52.683Z,GraphQL,Lazy,20.00,284.00
107,2026-08-27T23:20:58.096Z,GraphQL,Lazy,20.00,184.00
108,2026-08-27T23:21:03.485Z,GraphQL,Lazy,20.00,164.00
109,2026-08-27T23:21:08.958Z,GraphQL,Lazy,16.00,248.00
110,2026-08-27T23:21:14.293Z,GraphQL,Lazy,20.00,184.00
111,2026-08-27T23:21:19.702Z,GraphQL,Lazy,20.00,164.00
112,2026-08-27T23:21:25.215Z,GraphQL,Lazy,20.00,280.00
