RequestNo,Timestamp,API,LoadingType,Method,Endpoint,StatusCode,ResponseTime(ms),ResponseSize(Bytes)
1,2026-08-19T14:18:12.032Z,REST,Eager,POST,/fetchMovies,200,238.80,7746501
2,2026-08-19T14:18:55.532Z,REST,Eager,POST,/fetchMovies,200,295.87,7746501
3,2026-08-19T14:19:34.504Z,REST,Eager,POST,/fetchMovies,200,246.23,7746501
4,2026-08-19T14:20:13.792Z,REST,Eager,POST,/fetchMovies,200,252.90,7746501
5,2026-08-19T14:20:49.838Z,REST,Eager,POST,/fetchMovies,200,260.31,7746501
6,2026-08-19T14:21:31.870Z,REST,Eager,POST,/fetchMovies,200,253.69,7746501
7,2026-08-19T14:22:09.139Z,REST,Eager,POST,/fetchMovies,200,282.26,7746501
8,2026-08-19T14:22:48.142Z,REST,Eager,POST,/fetchMovies,200,258.55,7746501
9,2026-08-19T14:24:23.260Z,REST,Eager,POST,/fetchMovies,200,250.46,7746501
10,2026-08-19T14:24:59.967Z,REST,Eager,POST,/fetchMovies,200,242.94,7746501
11,2026-08-19T14:25:38.521Z,REST,Eager,POST,/fetchMovies,200,262.33,7746501
12,2026-08-19T14:26:16.964Z,REST,Eager,POST,/fetchMovies,200,260.49,7746501
13,2026-08-19T14:26:52.929Z,REST,Eager,POST,/fetchMovies,200,243.36,7746501
14,2026-08-19T14:27:31.370Z,REST,Eager,POST,/fetchMovies,200,254.83,7746501
15,2026-08-19T14:28:07.861Z,REST,Eager,POST,/fetchMovies,200,258.39,7746501
16,2026-08-19T14:28:46.203Z,REST,Eager,POST,/fetchMovies,200,259.46,7746501
17,2026-08-19T14:29:23.071Z,REST,Eager,POST,/fetchMovies,200,245.57,7746501
18,2026-08-19T14:30:00.061Z,REST,Eager,POST,/fetchMovies,200,251.71,7746501
19,2026-08-19T14:30:38.403Z,REST,Eager,POST,/fetchMovies,200,260.43,7746501
20,2026-08-19T14:31:16.525Z,REST,Eager,POST,/fetchMovies,200,258.67,7746501
21,2026-08-19T14:31:53.987Z,REST,Eager,POST,/fetchMovies,200,255.42,7746501
22,2026-08-19T14:32:34.457Z,REST,Eager,POST,/fetchMovies,200,258.56,7746501
23,2026-08-19T14:33:14.236Z,REST,Eager,POST,/fetchMovies,200,245.85,7746501
24,2026-08-19T14:33:52.303Z,REST,Eager,POST,/fetchMovies,200,246.03,7746501
25,2026-08-19T14:34:30.526Z,REST,Eager,POST,/fetchMovies,200,254.49,7746501
26,2026-08-19T14:35:10.051Z,REST,Eager,POST,/fetchMovies,200,335.56,7746501
27,2026-08-19T14:35:50.373Z,REST,Eager,POST,/fetchMovies,200,264.03,7746501
28,2026-08-19T14:36:28.554Z,REST,Eager,POST,/fetchMovies,200,271.72,7746501
29,2026-08-19T14:37:03.585Z,REST,Eager,POST,/fetchMovies,200,255.36,7746501
30,2026-08-19T14:37:43.158Z,REST,Eager,POST,/fetchMovies,200,261.53,7746501
31,2026-08-19T14:39:13.991Z,GraphQL,Eager,POST,/graphql,200,381.08,3014015
32,2026-08-19T14:39:52.028Z,GraphQL,Eager,POST,/graphql,200,371.32,3014015
33,2026-08-19T14:40:35.700Z,GraphQL,Eager,POST,/graphql,200,387.18,3014015
34,2026-08-19T14:41:13.224Z,GraphQL,Eager,POST,/graphql,200,371.74,3014015
35,2026-08-19T14:41:52.977Z,GraphQL,Eager,POST,/graphql,200,372.53,3014015
