RequestNo, Timestamp, API, LoadingType, FCP(ms), LCP(ms)
1,2026-08-19T14:18:19.432Z,REST,Eager,44.00,1596.00
2,2026-08-19T14:19:01.629Z,REST,Eager,28.00,1472.00
3,2026-08-19T14:19:43.069Z,REST,Eager,28.00,1404.00
4,2026-08-19T14:20:20.036Z,REST,Eager,28.00,1404.00
5,2026-08-19T14:20:57.510Z,REST,Eager,44.00,1412.00
6,2026-08-19T14:21:43.331Z,REST,Eager,28.00,1412.00
7,2026-08-19T14:22:22.515Z,REST,Eager,28.00,1504.00
8,2026-08-19T14:24:34.166Z,REST,Eager,24.00,1420.00
9,2026-08-19T14:25:05.389Z,REST,Eager,32.00,1404.00
10,2026-08-19T14:25:47.006Z,REST,Eager,44.00,1580.00
11,2026-08-19T14:26:24.161Z,REST,Eager,24.00,1428.00
12,2026-08-19T14:26:59.234Z,REST,Eager,32.00,1580.00
13,2026-08-19T14:27:38.857Z,REST,Eager,24.00,1396.00
14,2026-08-19T14:28:14.751Z,REST,Eager,44.00,1420.00
15,2026-08-19T14:28:51.991Z,REST,Eager,28.00,1584.00
16,2026-08-19T14:29:29.459Z,REST,Eager,16.00,1416.00
17,2026-08-19T14:30:07.656Z,REST,Eager,32.00,1424.00
18,2026-08-19T14:30:46.709Z,REST,Eager,20.00,1584.00
19,2026-08-19T14:31:24.591Z,REST,Eager,24.00,1428.00
20,2026-08-19T14:32:02.741Z,REST,Eager,24.00,1580.00
21,2026-08-19T14:32:42.840Z,REST,Eager,20.00,1428.00
22,2026-08-19T14:33:22.536Z,REST,Eager,28.00,1364.00
23,2026-08-19T14:33:59.166Z,REST,Eager,24.00,1424.00
24,2026-08-19T14:34:38.702Z,REST,Eager,28.00,1416.00
25,2026-08-19T14:35:19.998Z,REST,Eager,24.00,1684.00
26,2026-08-19T14:35:56.140Z,REST,Eager,28.00,1568.00
27,2026-08-19T14:36:34.157Z,REST,Eager,24.00,1440.00
28,2026-08-19T14:37:11.341Z,REST,Eager,28.00,1416.00
29,2026-08-19T14:37:50.896Z,REST,Eager,28.00,1564.00
30,2026-08-19T14:39:21.396Z,GraphQL,Eager,24.00,1552.00
31,2026-08-19T14:39:58.352Z,GraphQL,Eager,28.00,1508.00
32,2026-08-19T14:40:43.670Z,GraphQL,Eager,24.00,1548.00
33,2026-08-19T14:41:23.197Z,GraphQL,Eager,28.00,1508.00
34,2026-08-19T14:42:00.636Z,GraphQL,Eager,16.00,1524.00
35,2026-08-19T14:42:45.098Z,GraphQL,Eager,24.00,1676.00
36,2026-08-19T14:43:22.397Z,GraphQL,Eager,28.00,1552.00
37,2026-08-19T14:44:04.892Z,GraphQL,Eager,28.00,1536.00
38,2026-08-19T14:44:42.148Z,GraphQL,Eager,28.00,1528.00
39,2026-08-19T14:46:59.407Z,GraphQL,Eager,24.00,1672.00
40,2026-08-19T14:47:39.463Z,GraphQL,Eager,20.00,1552.00
41,2026-08-19T14:48:19.253Z,GraphQL,Eager,24.00,1576.00
42,2026-08-19T14:48:57.831Z,GraphQL,Eager,24.00,1708.00
43,2026-08-19T14:49:40.949Z,GraphQL,Eager,28.00,1676.00
44,2026-08-19T14:50:19.139Z,GraphQL,Eager,28.00,1524.00
45,2026-08-19T14:50:56.387Z,GraphQL,Eager,24.00,1532.00
46,2026-08-19T14:51:31.605Z,GraphQL,Eager,28.00,1528.00
47,2026-08-19T14:52:09.602Z,GraphQL,Eager,16.00,1528.00
48,2026-08-19T14:52:47.877Z,GraphQL,Eager,24.00,1524.00
49,2026-08-19T14:53:26.371Z,GraphQL,Eager,28.00,1520.00
50,2026-08-19T14:55:45.226Z,GraphQL,Eager,24.00,1540.00
51,2026-08-19T14:56:24.661Z,GraphQL,Eager,28.00,1544.00
52,2026-08-19T14:57:00.656Z,GraphQL,Eager,32.00,1680.00
53,2026-08-19T14:57:44.687Z,GraphQL,Eager,52.00,1804.00
54,2026-08-19T14:58:26.441Z,GraphQL,Eager,28.00,1528.00
55,2026-08-19T14:59:05.241Z,GraphQL,Eager,28.00,1528.00
56,2026-08-19T14:59:42.213Z,GraphQL,Eager,32.00,1528.00
57,2026-08-19T15:00:20.057Z,GraphQL,Eager,24.00,1524.00
58,2026-08-19T15:04:39.112Z,REST,Lazy,32.00,180.00
59,2026-08-19T15:04:44.568Z,REST,Lazy,32.00,84.00
60,2026-08-19T15:04:49.907Z,REST,Lazy,20.00,84.00
61,2026-08-19T15:04:55.645Z,REST,Lazy,20.00,84.00
62,2026-08-19T15:05:01.017Z,REST,Lazy,20.00,184.00
63,2026-08-19T15:05:06.417Z,REST,Lazy,20.00,164.00
64,2026-08-19T15:05:11.921Z,REST,Lazy,20.00,84.00
65,2026-08-19T15:05:17.322Z,REST,Lazy,16.00,84.00
66,2026-08-19T15:05:22.725Z,REST,Lazy,16.00,84.00
67,2026-08-19T15:05:28.179Z,REST,Lazy,16.00,216.00
68,2026-08-19T15:05:33.529Z,REST,Lazy,32.00,180.00
69,2026-08-19T15:05:38.934Z,REST,Lazy,28.00,80.00
70,2026-08-19T15:05:44.439Z,REST,Lazy,32.00,264.00
71,2026-08-19T15:05:49.833Z,REST,Lazy,16.00,80.00
72,2026-08-19T15:05:55.241Z,REST,Lazy,28.00,80.00
73,2026-08-19T15:06:00.638Z,REST,Lazy,20.00,248.00
74,2026-08-19T15:06:05.973Z,REST,Lazy,20.00,168.00
75,2026-08-19T15:06:11.354Z,REST,Lazy,20.00,164.00
76,2026-08-19T15:06:16.748Z,REST,Lazy,16.00,164.00
77,2026-08-19T15:06:22.179Z,REST,Lazy,20.00,200.00
78,2026-08-19T15:06:27.548Z,REST,Lazy,20.00,168.00
79,2026-08-19T15:06:32.965Z,REST,Lazy,20.00,184.00
80,2026-08-19T15:06:38.421Z,REST,Lazy,16.00,84.00
81,2026-08-19T15:06:43.772Z,REST,Lazy,20.00,164.00
82,2026-08-19T15:06:49.171Z,REST,Lazy,20.00,84.00
83,2026-08-19T15:06:54.642Z,REST,Lazy,32.00,232.00
84,2026-08-19T15:06:59.976Z,REST,Lazy,20.00,164.00
85,2026-08-19T15:07:05.377Z,REST,Lazy,20.00,184.00
86,2026-08-19T15:07:10.848Z,REST,Lazy,16.00,164.00
87,2026-08-19T15:07:16.152Z,REST,Lazy,16.00,84.00
88,2026-08-19T15:08:46.811Z,GraphQL,Lazy,20.00,252.00
89,2026-08-19T15:08:52.234Z,GraphQL,Lazy,12.00,180.00
90,2026-08-19T15:08:57.644Z,GraphQL,Lazy,20.00,164.00
91,2026-08-19T15:09:03.133Z,GraphQL,Lazy,16.00,248.00
92,2026-08-19T15:09:08.559Z,GraphQL,Lazy,20.00,184.00
93,2026-08-19T15:09:13.942Z,GraphQL,Lazy,20.00,84.00
94,2026-08-19T15:09:19.397Z,GraphQL,Lazy,20.00,200.00
95,2026-08-19T15:09:24.767Z,GraphQL,Lazy,20.00,184.00
96,2026-08-19T15:09:30.171Z,GraphQL,Lazy,32.00,180.00
97,2026-08-19T15:09:35.645Z,GraphQL,Lazy,20.00,84.00
98,2026-08-19T15:09:40.980Z,GraphQL,Lazy,24.00,172.00
99,2026-08-19T15:09:46.396Z,GraphQL,Lazy,20.00,184.00
100,2026-08-19T15:09:51.887Z,GraphQL,Lazy,28.00,244.00
101,2026-08-19T15:09:57.225Z,GraphQL,Lazy,16.00,180.00
102,2026-08-19T15:10:02.540Z,GraphQL,Lazy,32.00,68.00
103,2026-08-19T15:10:07.855Z,GraphQL,Lazy,32.00,144.00
